#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),organic matter,soil texture,water content,roots,color,notes
1,EER-1,5/30/18,black spiral,,,0,8,,"clay, HO",moist,C/F-M,dark brown,crumbly
,EER-1,5/30/18,black spiral,,,8,16,,"clay, HO",moist,"C/VF, F/F-M",dark brown,"slick, smooth"
,EER-1,5/30/18,black spiral,,,16,20,,"clay, GS, MK",saturated,"M/M, C/VF-F",dark brown,
,EER-1,5/30/18,black spiral,,,20,24,,"sandy clay, GR",saturated,C/VF-M,dark brown,rounded GR
,EER-1,5/30/18,black spiral,,,24,29,,"sandy clay, GR",saturated,C/M,dark brown,rounded F-M GR
,,,,,,,,,,,,,
2,EHR-1,5/30/18,black spiral,,,0,2,,"clay, HO",moist,M/F-M,dark brown,crumbly
,EHR-1,5/30/18,black spiral,,,2,12,,clay,moist,M/F-M,dark brown,slick
,EHR-1,5/30/18,black spiral,,,12,19,,sandy clay,moist,M/F-M,dark brown,
,EHR-1,5/30/18,black spiral,,,19,29.5,,sandy clay to silty clay,saturated,M/F-M,light brown,
,EHR-1,5/30/18,black spiral,,,29.5,34,fibrous,clay loam,moist,M/M-F,dark brown,did not appear as saturated
,EHR-1,5/30/18,black spiral,,,34,41,,clay loam to clay GR,saturated,F/M-F,med brown,rounded GR
,,,,,,,,,,,,,
3,EWR-1,5/31/18,black spiral,,,0,9,"grassy, fibrous","clay, HO",saturated,"M/M-F, F/C",dark brown,
,EWR-1,5/31/18,black spiral,,,9,11,,"sandy clay, GR",saturated,M/F,brown,rounded  pebbles
,EWR-1,5/31/18,black spiral,,,11,16,,clay,saturated,,,
,,,,,,,,,,,,,
4,EEF-1,5/31/18,black spiral,,,0,4,"grassy, fibrous","HO, MPT",sturated,M/VF-M,dark black brown,
,EEF-1,5/31/18,black spiral,,,4,9,,clay,saturated,M/VF-M,dark brown,
,EEF-1,5/31/18,black spiral,,,9,16,,"clay silt, GR",saturated,"C/F, M/VF","dark brown, grayish blue",3mm pebbles
,EEF-1,5/31/18,black spiral,,,16,22,,"sandy clay, VGR",saturated,C/F,mottled tan,"angular gravel, 5-12 mm"
,EEF-1,5/31/18,black spiral,,,22,28,,"clay loam, GR",saturated,"C/VF, F, M-F",mottled tan,whole and decomposing gravel
,EEF-1,5/31/18,black spiral,,,28,38,,"clay loam, GR",saturated,F/VF-F,mottled tan,"few fiber chunks, whole and decomposing gravel"
,,,,,,,,,,,,,
5,EET-1,5/31/18,black spiral,,,0,4,,HO,moist,M/VF-F,dark black brown,hummic
