#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil texture code,gravel size,gravel amount
1.0,EER-1,5/30/2018,black spiral,0.0,20.32,0.0,8.0,,,"clay, HO",moist,C/F-M,dark brown,,crumbly,clay,HO,C,,0.0
,EER-1,5/30/2018,black spiral,20.32,40.64,8.0,16.0,,,"clay, HO",moist,"C/VF, F/F-M",dark brown,,"slick, smooth",clay,HO,C,,0.0
,EER-1,5/30/2018,black spiral,40.64,50.8,16.0,20.0,,,"clay, GS, MK",saturated,"M/M, C/VF-F",dark brown,,,clay,"GS, MK",C,,0.0
,EER-1,5/30/2018,black spiral,50.8,60.96,20.0,24.0,,,"sandy clay, GR",saturated,C/VF-M,dark brown,,rounded GR,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,EER-1,5/30/2018,black spiral,60.96,73.66,24.0,29.0,,,"sandy clay, GR",saturated,C/M,dark brown,,rounded F-M GR,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,,,,,,,,,,,,,,,,,,,,0.0
2.0,EHR-1,5/30/2018,black spiral,0.0,5.08,0.0,2.0,,,"clay, HO",moist,M/F-M,dark brown,,crumbly,clay,HO,C,,0.0
,EHR-1,5/30/2018,black spiral,5.08,30.48,2.0,12.0,,,clay,moist,M/F-M,dark brown,,slick,clay,,C,,0.0
,EHR-1,5/30/2018,black spiral,30.48,48.26,12.0,19.0,,,sandy clay,moist,M/F-M,dark brown,,,sandy clay,,SC,,0.0
,EHR-1,5/30/2018,black spiral,48.26,74.93,19.0,29.5,,,sandy clay to silty clay,saturated,M/F-M,light brown,,,sandy clay to silty clay,,,,0.0
,EHR-1,5/30/2018,black spiral,74.93,86.36,29.5,34.0,,fibrous,clay loam,moist,M/M-F,dark brown,,did not appear as saturated,clay loam,,CL,,0.0
,EHR-1,5/30/2018,black spiral,86.36,104.14,34.0,41.0,,,clay loam to clay GR,saturated,F/M-F,med brown,,rounded GR,clay loam to clay gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,0.0
3.0,EWR-1,5/31/2018,black spiral,0.0,22.86,0.0,9.0,,"grassy, fibrous","clay, HO",saturated,"M/M-F, F/C",dark brown,,,clay,HO,C,,0.0
,EWR-1,5/31/2018,black spiral,22.86,27.94,9.0,11.0,,,"sandy clay, GR",saturated,M/F,brown,,rounded  pebbles,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,EWR-1,5/31/2018,black spiral,27.94,40.64,11.0,16.0,,,clay,saturated,,,,,clay,,C,,0.0
,,,,,,,,,,,,,,,,,,,,0.0
4.0,EEF-1,5/31/2018,black spiral,0.0,10.16,0.0,4.0,,"grassy, fibrous","HO, MPT",sturated,M/VF-M,dark black brown,,,ho,MPT,,,0.0
,EEF-1,5/31/2018,black spiral,10.16,22.86,4.0,9.0,,,clay,saturated,M/VF-M,dark brown,,,clay,,C,,0.0
,EEF-1,5/31/2018,black spiral,22.86,40.64,9.0,16.0,,,"clay silt, GR",saturated,"C/F, M/VF","dark brown, grayish blue",,3mm pebbles,clay silt,GR,,"(5, 20)","(0.15, 0.35)"
,EEF-1,5/31/2018,black spiral,40.64,55.88,16.0,22.0,,,"sandy clay, VGR",saturated,C/F,mottled tan,,"angular gravel, 5-12 mm",sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,EEF-1,5/31/2018,black spiral,55.88,71.12,22.0,28.0,,,"clay loam, GR",saturated,"C/VF, F, M-F",mottled tan,,whole and decomposing gravel,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
,EEF-1,5/31/2018,black spiral,71.12,96.52,28.0,38.0,,,"clay loam, GR",saturated,F/VF-F,mottled tan,,"few fiber chunks, whole and decomposing gravel",clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
,,,,,,,,,,,,,,,,,,,,0.0
5.0,EET-1,5/31/2018,black spiral,0.0,10.16,0.0,4.0,,,HO,moist,M/VF-F,dark black brown,,hummic,ho,,,,0.0
,EET-1,5/31/2018,black spiral,10.16,25.4,4.0,10.0,,,clay,moist,C/F-M,dark brown,,"small bits of broken, subangular gravel",clay,,C,,0.0
,EET-1,5/31/2018,black spiral,25.4,45.72,10.0,18.0,,,"sandy clay, GR",saturated,F/VF-F,brown-tan,,"subangular gravel, large sand to 8 mm",sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,EET-1,5/31/2018,black spiral,45.72,64.77,18.0,25.5,,,"sandy clay loam, VGR",saturated,F/VF-F,brown-tan,,,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)"
,EET-1,5/31/2018,black spiral,64.77,76.2,25.5,30.0,,,"loam, FGR",,F/F,brown-tan,,,loam,FGR,L,"(2, 5)","(0.15, 0.35)"
,EET-1,5/31/2018,black spiral,76.2,88.9,30.0,35.0,,,"loam, GR",,C/F-M,"brown-tan, mottled",,decomposing gravel,loam,GR,L,"(5, 20)","(0.15, 0.35)"
,EET-1,5/31/2018,black spiral,88.9,95.25,35.0,37.5,,fibrous,sandy clay loam,,,"brown-tan, mottled",,decomposing gravel,sandy clay loam,,SCL,,0.0
,EET-1,5/31/2018,black spiral,95.25,99.06,37.5,39.0,,fibrous,sandy clay loam,,C/VF,"brown-tan, mottled, colorful",,,sandy clay loam,,SCL,,0.0
,,,,,,,,,,,,,,,,,,,,0.0
6.0,EWT-1,5/31/2018,black spiral p8,0.0,5.08,0.0,2.0,,"grassy, fibrous roots","HO, no mineral sediment",moist,M/VF-F,dark brown,,,ho,no mineral sediment,,,0.0
,EWT-1,5/31/2018,black spiral p8,5.08,10.16,2.0,4.0,,,"clay, HO",moist,M/VF-F,dark brown,,crumbly,clay,HO,C,,0.0
,EWT-1,5/31/2018,black spiral p8,10.16,30.48,4.0,12.0,,,"clay, HO, GR",moist,"M/F, F/C",dark brown,,"subangular GR, 6-12 mm",clay,"HO, GR",C,"(5, 20)","(0.15, 0.35)"
,EWT-1,5/31/2018,black spiral p8,30.48,45.72,12.0,18.0,,,"clay loam, GR",saturated,"M/F, C/VF","brown, reddish",,"gritty, subangular gravel, 6-20 mm",clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
,EWT-1,5/31/2018,black spiral p8,45.72,69.85,18.0,27.5,,,"sandy clay to clay, GR",saturated,F/F,"brown, reddish",,"subangular gravel, 6-30 mm",sandy clay to clay,GR,,"(5, 20)","(0.15, 0.35)"
,EWT-1,5/31/2018,black spiral p8,69.85,80.01,27.5,31.5,,,"clay loam, GR",saturated,"C/M, F/C",brown,,,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
,EWT-1,5/31/2018,black spiral p8,80.01,83.82,31.5,33.0,,,clay,saturated,F/F,brown,,,clay,,C,,0.0
,EWT-1,5/31/2018,black spiral p8,83.82,91.44,33.0,36.0,,,clay,saturated,F/VF,light brown,,"some grit, red-orange oxide",clay,,C,,0.0
,EWT-1,5/31/2018,black spiral p8,91.44,97.79,36.0,38.5,,,clay loam,saturated,F/F,"light brown, mottled",,"white-red mottling, red-orange oxide",clay loam,,CL,,0.0
,EWT-1,5/31/2018,black spiral p8,97.79,109.0,38.5,43.0,,,clay loam,saturated,,light brown,,"backfill with sand to 39"" depth",clay loam,,CL,,0.0
29.0,EWT-1,7/15/2021,yellow p77,109.0,120.0,,,,,sandy clay,moist,F/VF-F,"10 YR, 5/4; orange mottled",,"coarse sand, mottled",sandy clay,,SC,,0.0
,EWT-1,7/15/2021,yellow p77,120.0,148.0,,,,,sandy clay,moist,F/VF,"10 YR, 5/4; orange mottled",,"finer sand, mottled",sandy clay,,SC,,0.0
,EWT-1,7/15/2021,yellow p77,148.0,151.0,,,,,sandy clay,saturated,F/VF,"10 YR, 5/3",,,sandy clay,,SC,,0.0
,EWT-1,7/15/2021,yellow p77,151.0,152.0,,,,,GR,,,,,"hit rock, could not auger beyond it",gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,0.0
