1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A400000081779741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:35:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 05:55:01 PDT 2025
Total Mission Samples:  5490
Total Device Samples:  12831
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/3/25, 11:05:01 AM,C,29.627
7/3/25, 11:15:01 AM,C,27.629
7/3/25, 11:25:01 AM,C,29.128
7/3/25, 11:35:01 AM,C,28.628
7/3/25, 11:45:01 AM,C,30.127
7/3/25, 11:55:01 AM,C,29.627
7/3/25, 12:05:01 PM,C,30.127
7/3/25, 12:15:01 PM,C,31.126
7/3/25, 12:25:01 PM,C,27.629
7/3/25, 12:35:01 PM,C,29.128
7/3/25, 12:45:01 PM,C,28.128
7/3/25, 12:55:01 PM,C,27.629
7/3/25, 1:05:01 PM,C,29.128
7/3/25, 1:15:01 PM,C,32.623
7/3/25, 1:25:01 PM,C,30.127
7/3/25, 1:35:01 PM,C,30.626
7/3/25, 1:45:01 PM,C,31.625
7/3/25, 1:55:01 PM,C,29.627
7/3/25, 2:05:01 PM,C,26.129
7/3/25, 2:15:01 PM,C,31.625
7/3/25, 2:25:01 PM,C,30.626
7/3/25, 2:35:01 PM,C,25.129
7/3/25, 2:45:01 PM,C,26.629
7/3/25, 2:55:01 PM,C,25.629
7/3/25, 3:05:01 PM,C,24.128
7/3/25, 3:15:01 PM,C,24.128
7/3/25, 3:25:01 PM,C,22.627
7/3/25, 3:35:01 PM,C,21.126
7/3/25, 3:45:01 PM,C,21.626
7/3/25, 3:55:01 PM,C,27.629
7/3/25, 4:05:01 PM,C,30.626
7/3/25, 4:15:01 PM,C,30.626
7/3/25, 4:25:01 PM,C,30.127
7/3/25, 4:35:01 PM,C,28.128
7/3/25, 4:45:01 PM,C,27.629
7/3/25, 4:55:01 PM,C,26.629
7/3/25, 5:05:01 PM,C,26.629
7/3/25, 5:15:01 PM,C,26.129
7/3/25, 5:25:01 PM,C,25.629
7/3/25, 5:35:01 PM,C,24.629
7/3/25, 5:45:01 PM,C,23.628
7/3/25, 5:55:01 PM,C,24.629
7/3/25, 6:05:01 PM,C,24.128
7/3/25, 6:15:01 PM,C,23.128
7/3/25, 6:25:01 PM,C,22.627
7/3/25, 6:35:01 PM,C,20.625
7/3/25, 6:45:01 PM,C,18.621
7/3/25, 6:55:01 PM,C,18.12
7/3/25, 7:05:01 PM,C,16.617
7/3/25, 7:15:01 PM,C,16.617
7/3/25, 7:25:01 PM,C,16.617
7/3/25, 7:35:01 PM,C,16.115
7/3/25, 7:45:01 PM,C,15.614
7/3/25, 7:55:01 PM,C,15.112
7/3/25, 8:05:01 PM,C,14.109
7/3/25, 8:15:01 PM,C,14.109
7/3/25, 8:25:01 PM,C,13.106
7/3/25, 8:35:01 PM,C,12.604
7/3/25, 8:45:01 PM,C,12.102
7/3/25, 8:55:01 PM,C,12.102
7/3/25, 9:05:01 PM,C,13.608
7/3/25, 9:15:01 PM,C,12.604
7/3/25, 9:25:01 PM,C,12.102
7/3/25, 9:35:01 PM,C,11.6
7/3/25, 9:45:01 PM,C,11.6
7/3/25, 9:55:01 PM,C,10.094
7/3/25, 10:05:01 PM,C,9.089
7/3/25, 10:15:01 PM,C,9.089
7/3/25, 10:25:01 PM,C,8.587
7/3/25, 10:35:01 PM,C,7.582
7/3/25, 10:45:01 PM,C,7.079
7/3/25, 10:55:01 PM,C,6.577
7/3/25, 11:05:01 PM,C,6.577
7/3/25, 11:15:01 PM,C,6.074
7/3/25, 11:25:01 PM,C,6.074
7/3/25, 11:35:01 PM,C,6.074
7/3/25, 11:45:01 PM,C,6.074
7/3/25, 11:55:01 PM,C,5.571
7/4/25, 12:05:01 AM,C,6.074
7/4/25, 12:15:01 AM,C,5.571
7/4/25, 12:25:01 AM,C,6.577
7/4/25, 12:35:01 AM,C,6.577
7/4/25, 12:45:01 AM,C,6.577
7/4/25, 12:55:01 AM,C,8.587
7/4/25, 1:05:01 AM,C,8.084
7/4/25, 1:15:01 AM,C,6.577
7/4/25, 1:25:01 AM,C,6.074
7/4/25, 1:35:01 AM,C,5.068
7/4/25, 1:45:01 AM,C,4.565
7/4/25, 1:55:01 AM,C,4.062
7/4/25, 2:05:01 AM,C,4.062
7/4/25, 2:15:01 AM,C,4.062
7/4/25, 2:25:01 AM,C,3.559
7/4/25, 2:35:01 AM,C,3.056
7/4/25, 2:45:01 AM,C,3.056
7/4/25, 2:55:01 AM,C,2.553
7/4/25, 3:05:01 AM,C,2.05
7/4/25, 3:15:01 AM,C,1.546
7/4/25, 3:25:01 AM,C,1.546
7/4/25, 3:35:01 AM,C,1.546
7/4/25, 3:45:01 AM,C,1.546
7/4/25, 3:55:01 AM,C,1.546
7/4/25, 4:05:01 AM,C,1.546
7/4/25, 4:15:01 AM,C,1.546
7/4/25, 4:25:01 AM,C,1.546
7/4/25, 4:35:01 AM,C,1.043
7/4/25, 4:45:01 AM,C,1.043
7/4/25, 4:55:01 AM,C,1.043
7/4/25, 5:05:01 AM,C,1.043
7/4/25, 5:15:01 AM,C,1.043
7/4/25, 5:25:01 AM,C,0.539
7/4/25, 5:35:01 AM,C,0.539
7/4/25, 5:45:01 AM,C,0.539
7/4/25, 5:55:01 AM,C,0.539
7/4/25, 6:05:01 AM,C,0.539
7/4/25, 6:15:01 AM,C,1.043
7/4/25, 6:25:01 AM,C,1.546
7/4/25, 6:35:01 AM,C,2.05
7/4/25, 6:45:01 AM,C,3.559
7/4/25, 6:55:01 AM,C,6.074
7/4/25, 7:05:01 AM,C,7.582
7/4/25, 7:15:01 AM,C,9.089
7/4/25, 7:25:01 AM,C,15.112
7/4/25, 7:35:01 AM,C,15.112
7/4/25, 7:45:01 AM,C,19.122
7/4/25, 7:55:01 AM,C,20.124
7/4/25, 8:05:01 AM,C,21.126
7/4/25, 8:15:01 AM,C,20.625
7/4/25, 8:25:01 AM,C,22.627
7/4/25, 8:35:01 AM,C,22.127
7/4/25, 8:45:01 AM,C,22.627
7/4/25, 8:55:01 AM,C,22.627
7/4/25, 9:05:01 AM,C,22.627
7/4/25, 9:15:01 AM,C,22.627
7/4/25, 9:25:01 AM,C,23.128
7/4/25, 9:35:01 AM,C,22.627
7/4/25, 9:45:01 AM,C,23.128
7/4/25, 9:55:01 AM,C,22.127
7/4/25, 10:05:01 AM,C,21.626
7/4/25, 10:15:01 AM,C,21.626
7/4/25, 10:25:01 AM,C,22.127
7/4/25, 10:35:01 AM,C,22.627
7/4/25, 10:45:01 AM,C,22.627
7/4/25, 10:55:01 AM,C,21.126
7/4/25, 11:05:01 AM,C,22.627
7/4/25, 11:15:01 AM,C,22.627
7/4/25, 11:25:01 AM,C,22.627
7/4/25, 11:35:01 AM,C,22.127
7/4/25, 11:45:01 AM,C,23.128
7/4/25, 11:55:01 AM,C,22.627
7/4/25, 12:05:01 PM,C,24.128
7/4/25, 12:15:01 PM,C,21.626
7/4/25, 12:25:01 PM,C,23.128
7/4/25, 12:35:01 PM,C,23.128
7/4/25, 12:45:01 PM,C,24.629
7/4/25, 12:55:01 PM,C,23.628
7/4/25, 1:05:01 PM,C,24.128
7/4/25, 1:15:01 PM,C,23.628
7/4/25, 1:25:01 PM,C,24.128
7/4/25, 1:35:01 PM,C,25.129
7/4/25, 1:45:01 PM,C,26.129
7/4/25, 1:55:01 PM,C,23.628
7/4/25, 2:05:01 PM,C,26.129
7/4/25, 2:15:01 PM,C,25.629
7/4/25, 2:25:01 PM,C,25.629
7/4/25, 2:35:01 PM,C,26.129
7/4/25, 2:45:01 PM,C,26.629
7/4/25, 2:55:01 PM,C,26.129
7/4/25, 3:05:01 PM,C,26.129
7/4/25, 3:15:01 PM,C,25.629
7/4/25, 3:25:01 PM,C,25.629
7/4/25, 3:35:01 PM,C,25.629
7/4/25, 3:45:01 PM,C,26.629
7/4/25, 3:55:01 PM,C,25.129
7/4/25, 4:05:01 PM,C,26.129
7/4/25, 4:15:01 PM,C,25.129
7/4/25, 4:25:01 PM,C,25.629
7/4/25, 4:35:01 PM,C,25.629
7/4/25, 4:45:01 PM,C,25.129
7/4/25, 4:55:01 PM,C,24.128
7/4/25, 5:05:01 PM,C,23.128
7/4/25, 5:15:01 PM,C,24.128
7/4/25, 5:25:01 PM,C,22.627
7/4/25, 5:35:01 PM,C,21.626
7/4/25, 5:45:01 PM,C,22.127
7/4/25, 5:55:01 PM,C,21.126
7/4/25, 6:05:01 PM,C,21.126
7/4/25, 6:15:01 PM,C,20.124
7/4/25, 6:25:01 PM,C,20.124
7/4/25, 6:35:01 PM,C,18.12
7/4/25, 6:45:01 PM,C,15.614
7/4/25, 6:55:01 PM,C,14.611
7/4/25, 7:05:01 PM,C,14.109
7/4/25, 7:15:01 PM,C,13.608
7/4/25, 7:25:01 PM,C,13.106
7/4/25, 7:35:01 PM,C,12.102
7/4/25, 7:45:01 PM,C,12.604
7/4/25, 7:55:01 PM,C,11.6
7/4/25, 8:05:01 PM,C,11.098
7/4/25, 8:15:01 PM,C,9.592
7/4/25, 8:25:01 PM,C,10.094
7/4/25, 8:35:01 PM,C,9.089
7/4/25, 8:45:01 PM,C,7.582
7/4/25, 8:55:01 PM,C,6.577
7/4/25, 9:05:01 PM,C,6.577
7/4/25, 9:15:01 PM,C,5.571
7/4/25, 9:25:01 PM,C,5.068
7/4/25, 9:35:01 PM,C,5.068
7/4/25, 9:45:01 PM,C,4.565
7/4/25, 9:55:01 PM,C,4.565
7/4/25, 10:05:01 PM,C,4.062
7/4/25, 10:15:01 PM,C,3.559
7/4/25, 10:25:01 PM,C,3.559
7/4/25, 10:35:01 PM,C,3.559
7/4/25, 10:45:01 PM,C,2.553
7/4/25, 10:55:01 PM,C,2.05
7/4/25, 11:05:01 PM,C,2.05
7/4/25, 11:15:01 PM,C,2.05
7/4/25, 11:25:01 PM,C,1.546
7/4/25, 11:35:01 PM,C,1.546
7/4/25, 11:45:01 PM,C,1.043
7/4/25, 11:55:01 PM,C,1.043
7/5/25, 12:05:01 AM,C,1.043
7/5/25, 12:15:01 AM,C,0.539
7/5/25, 12:25:01 AM,C,0.539
7/5/25, 12:35:01 AM,C,0.539
7/5/25, 12:45:01 AM,C,0.539
7/5/25, 12:55:01 AM,C,0.036
7/5/25, 1:05:01 AM,C,-0.468
7/5/25, 1:15:01 AM,C,-0.468
7/5/25, 1:25:01 AM,C,-0.468
7/5/25, 1:35:01 AM,C,-0.468
7/5/25, 1:45:01 AM,C,-0.468
7/5/25, 1:55:01 AM,C,-0.971
7/5/25, 2:05:01 AM,C,-0.971
7/5/25, 2:15:01 AM,C,-0.971
7/5/25, 2:25:01 AM,C,-1.475
7/5/25, 2:35:01 AM,C,-1.475
7/5/25, 2:45:01 AM,C,-1.475
7/5/25, 2:55:01 AM,C,-1.475
7/5/25, 3:05:01 AM,C,-1.979
7/5/25, 3:15:01 AM,C,-1.979
7/5/25, 3:25:01 AM,C,-1.475
7/5/25, 3:35:01 AM,C,-1.979
7/5/25, 3:45:01 AM,C,-1.979
7/5/25, 3:55:01 AM,C,-1.979
7/5/25, 4:05:01 AM,C,-1.979
7/5/25, 4:15:01 AM,C,-1.979
7/5/25, 4:25:01 AM,C,-1.979
7/5/25, 4:35:01 AM,C,-2.483
7/5/25, 4:45:01 AM,C,-2.483
7/5/25, 4:55:01 AM,C,-2.483
7/5/25, 5:05:01 AM,C,-2.483
7/5/25, 5:15:01 AM,C,-2.483
7/5/25, 5:25:01 AM,C,-2.483
7/5/25, 5:35:01 AM,C,-2.483
7/5/25, 5:45:01 AM,C,-2.483
7/5/25, 5:55:01 AM,C,-2.483
7/5/25, 6:05:01 AM,C,-2.483
7/5/25, 6:15:01 AM,C,-2.483
7/5/25, 6:25:01 AM,C,-2.483
7/5/25, 6:35:01 AM,C,-1.979
7/5/25, 6:45:01 AM,C,-0.971
7/5/25, 6:55:01 AM,C,0.539
7/5/25, 7:05:01 AM,C,0.539
7/5/25, 7:15:01 AM,C,1.546
7/5/25, 7:25:01 AM,C,9.089
7/5/25, 7:35:01 AM,C,8.084
7/5/25, 7:45:01 AM,C,13.106
7/5/25, 7:55:01 AM,C,16.115
7/5/25, 8:05:01 AM,C,17.619
7/5/25, 8:15:01 AM,C,19.122
7/5/25, 8:25:01 AM,C,20.124
7/5/25, 8:35:01 AM,C,20.625
7/5/25, 8:45:01 AM,C,22.627
7/5/25, 8:55:01 AM,C,22.127
7/5/25, 9:05:01 AM,C,22.127
7/5/25, 9:15:01 AM,C,22.627
7/5/25, 9:25:01 AM,C,24.128
7/5/25, 9:35:01 AM,C,24.128
7/5/25, 9:45:01 AM,C,25.129
7/5/25, 9:55:01 AM,C,26.129
7/5/25, 10:05:01 AM,C,25.129
7/5/25, 10:15:01 AM,C,26.129
7/5/25, 10:25:01 AM,C,25.629
7/5/25, 10:35:01 AM,C,25.629
7/5/25, 10:45:01 AM,C,28.128
7/5/25, 10:55:01 AM,C,26.629
7/5/25, 11:05:01 AM,C,27.129
7/5/25, 11:15:01 AM,C,26.129
7/5/25, 11:25:01 AM,C,27.129
7/5/25, 11:35:01 AM,C,27.129
7/5/25, 11:45:01 AM,C,27.629
7/5/25, 11:55:01 AM,C,28.128
7/5/25, 12:05:01 PM,C,28.128
7/5/25, 12:15:01 PM,C,28.628
7/5/25, 12:25:01 PM,C,27.629
7/5/25, 12:35:01 PM,C,29.128
7/5/25, 12:45:01 PM,C,29.128
7/5/25, 12:55:01 PM,C,28.628
7/5/25, 1:05:01 PM,C,28.628
7/5/25, 1:15:01 PM,C,29.128
7/5/25, 1:25:01 PM,C,29.128
7/5/25, 1:35:01 PM,C,28.628
7/5/25, 1:45:01 PM,C,27.629
7/5/25, 1:55:01 PM,C,28.628
7/5/25, 2:05:01 PM,C,28.628
7/5/25, 2:15:01 PM,C,28.128
7/5/25, 2:25:01 PM,C,28.628
7/5/25, 2:35:01 PM,C,30.127
7/5/25, 2:45:01 PM,C,29.128
7/5/25, 2:55:01 PM,C,30.127
7/5/25, 3:05:01 PM,C,30.626
7/5/25, 3:15:01 PM,C,30.626
7/5/25, 3:25:01 PM,C,29.128
7/5/25, 3:35:01 PM,C,28.128
7/5/25, 3:45:01 PM,C,27.629
7/5/25, 3:55:01 PM,C,29.128
7/5/25, 4:05:01 PM,C,30.127
7/5/25, 4:15:01 PM,C,29.128
7/5/25, 4:25:01 PM,C,29.128
7/5/25, 4:35:01 PM,C,28.128
7/5/25, 4:45:01 PM,C,28.628
7/5/25, 4:55:01 PM,C,28.128
7/5/25, 5:05:01 PM,C,27.129
7/5/25, 5:15:01 PM,C,27.629
7/5/25, 5:25:01 PM,C,27.629
7/5/25, 5:35:01 PM,C,28.128
7/5/25, 5:45:01 PM,C,25.629
7/5/25, 5:55:01 PM,C,25.629
7/5/25, 6:05:01 PM,C,25.629
7/5/25, 6:15:01 PM,C,24.629
7/5/25, 6:25:01 PM,C,24.128
7/5/25, 6:35:01 PM,C,22.627
7/5/25, 6:45:01 PM,C,19.122
7/5/25, 6:55:01 PM,C,17.619
7/5/25, 7:05:01 PM,C,16.617
7/5/25, 7:15:01 PM,C,16.115
7/5/25, 7:25:01 PM,C,15.614
7/5/25, 7:35:01 PM,C,15.112
7/5/25, 7:45:01 PM,C,14.611
7/5/25, 7:55:01 PM,C,13.106
7/5/25, 8:05:01 PM,C,11.6
7/5/25, 8:15:01 PM,C,11.098
7/5/25, 8:25:01 PM,C,10.094
7/5/25, 8:35:01 PM,C,9.089
7/5/25, 8:45:01 PM,C,9.089
7/5/25, 8:55:01 PM,C,8.084
7/5/25, 9:05:01 PM,C,7.582
7/5/25, 9:15:01 PM,C,7.079
7/5/25, 9:25:01 PM,C,7.079
7/5/25, 9:35:01 PM,C,6.577
7/5/25, 9:45:01 PM,C,6.577
7/5/25, 9:55:01 PM,C,6.074
7/5/25, 10:05:01 PM,C,5.571
7/5/25, 10:15:01 PM,C,5.571
7/5/25, 10:25:01 PM,C,5.068
7/5/25, 10:35:01 PM,C,5.068
7/5/25, 10:45:01 PM,C,5.068
7/5/25, 10:55:01 PM,C,4.565
7/5/25, 11:05:01 PM,C,4.062
7/5/25, 11:15:01 PM,C,4.062
7/5/25, 11:25:01 PM,C,4.062
7/5/25, 11:35:01 PM,C,4.062
7/5/25, 11:45:01 PM,C,3.559
7/5/25, 11:55:01 PM,C,3.559
7/6/25, 12:05:01 AM,C,3.559
7/6/25, 12:15:01 AM,C,3.056
7/6/25, 12:25:01 AM,C,3.559
7/6/25, 12:35:01 AM,C,3.056
7/6/25, 12:45:01 AM,C,3.056
7/6/25, 12:55:01 AM,C,3.056
7/6/25, 1:05:01 AM,C,2.553
7/6/25, 1:15:01 AM,C,2.553
7/6/25, 1:25:01 AM,C,2.553
7/6/25, 1:35:01 AM,C,2.553
7/6/25, 1:45:01 AM,C,2.553
7/6/25, 1:55:01 AM,C,2.05
7/6/25, 2:05:01 AM,C,2.05
7/6/25, 2:15:01 AM,C,2.05
7/6/25, 2:25:01 AM,C,1.546
7/6/25, 2:35:01 AM,C,2.05
7/6/25, 2:45:01 AM,C,1.546
7/6/25, 2:55:01 AM,C,1.546
7/6/25, 3:05:01 AM,C,1.546
7/6/25, 3:15:01 AM,C,1.546
7/6/25, 3:25:01 AM,C,1.043
7/6/25, 3:35:01 AM,C,1.043
7/6/25, 3:45:01 AM,C,1.043
7/6/25, 3:55:01 AM,C,1.043
7/6/25, 4:05:01 AM,C,1.043
7/6/25, 4:15:01 AM,C,1.043
7/6/25, 4:25:01 AM,C,1.043
7/6/25, 4:35:01 AM,C,1.043
7/6/25, 4:45:01 AM,C,0.539
7/6/25, 4:55:01 AM,C,0.539
7/6/25, 5:05:01 AM,C,0.539
7/6/25, 5:15:01 AM,C,0.539
7/6/25, 5:25:01 AM,C,0.036
7/6/25, 5:35:01 AM,C,0.539
7/6/25, 5:45:01 AM,C,0.036
7/6/25, 5:55:01 AM,C,0.036
7/6/25, 6:05:01 AM,C,0.036
7/6/25, 6:15:01 AM,C,0.036
7/6/25, 6:25:01 AM,C,0.539
7/6/25, 6:35:01 AM,C,0.539
7/6/25, 6:45:01 AM,C,1.546
7/6/25, 6:55:01 AM,C,3.056
7/6/25, 7:05:01 AM,C,3.559
7/6/25, 7:15:01 AM,C,4.565
7/6/25, 7:25:01 AM,C,11.6
7/6/25, 7:35:01 AM,C,10.596
7/6/25, 7:45:01 AM,C,16.115
7/6/25, 7:55:01 AM,C,18.621
7/6/25, 8:05:01 AM,C,20.124
7/6/25, 8:15:01 AM,C,21.126
7/6/25, 8:25:01 AM,C,22.627
7/6/25, 8:35:01 AM,C,23.128
7/6/25, 8:45:01 AM,C,24.629
7/6/25, 8:55:01 AM,C,25.629
7/6/25, 9:05:01 AM,C,26.629
7/6/25, 9:15:01 AM,C,27.629
7/6/25, 9:25:01 AM,C,27.629
7/6/25, 9:35:01 AM,C,27.629
7/6/25, 9:45:01 AM,C,27.629
7/6/25, 9:55:01 AM,C,27.629
7/6/25, 10:05:01 AM,C,28.128
7/6/25, 10:15:01 AM,C,28.128
7/6/25, 10:25:01 AM,C,27.629
7/6/25, 10:35:01 AM,C,29.128
7/6/25, 10:45:01 AM,C,29.627
7/6/25, 10:55:01 AM,C,28.628
7/6/25, 11:05:01 AM,C,28.628
7/6/25, 11:15:01 AM,C,29.128
7/6/25, 11:25:01 AM,C,29.128
7/6/25, 11:35:01 AM,C,29.128
7/6/25, 11:45:01 AM,C,30.626
7/6/25, 11:55:01 AM,C,31.126
7/6/25, 12:05:01 PM,C,30.626
7/6/25, 12:15:01 PM,C,29.627
7/6/25, 12:25:01 PM,C,29.627
7/6/25, 12:35:01 PM,C,31.126
7/6/25, 12:45:01 PM,C,31.625
7/6/25, 12:55:01 PM,C,31.625
7/6/25, 1:05:01 PM,C,31.625
7/6/25, 1:15:01 PM,C,31.625
7/6/25, 1:25:01 PM,C,33.122
7/6/25, 1:35:01 PM,C,33.122
7/6/25, 1:45:01 PM,C,33.621
7/6/25, 1:55:01 PM,C,32.623
7/6/25, 2:05:01 PM,C,32.623
7/6/25, 2:15:01 PM,C,32.124
7/6/25, 2:25:01 PM,C,33.122
7/6/25, 2:35:01 PM,C,33.621
7/6/25, 2:45:01 PM,C,32.623
7/6/25, 2:55:01 PM,C,32.623
7/6/25, 3:05:01 PM,C,33.621
7/6/25, 3:15:01 PM,C,33.122
7/6/25, 3:25:01 PM,C,34.619
7/6/25, 3:35:01 PM,C,34.12
7/6/25, 3:45:01 PM,C,34.619
7/6/25, 3:55:01 PM,C,35.118
7/6/25, 4:05:01 PM,C,34.12
7/6/25, 4:15:01 PM,C,34.619
7/6/25, 4:25:01 PM,C,35.118
7/6/25, 4:35:01 PM,C,33.621
7/6/25, 4:45:01 PM,C,34.12
7/6/25, 4:55:01 PM,C,33.122
7/6/25, 5:05:01 PM,C,33.621
7/6/25, 5:15:01 PM,C,25.629
7/6/25, 5:25:01 PM,C,33.621
7/6/25, 5:35:01 PM,C,32.124
7/6/25, 5:45:01 PM,C,31.625
7/6/25, 5:55:01 PM,C,25.629
7/6/25, 6:05:01 PM,C,28.628
7/6/25, 6:15:01 PM,C,28.628
7/6/25, 6:25:01 PM,C,27.129
7/6/25, 6:35:01 PM,C,26.129
7/6/25, 6:45:01 PM,C,23.128
7/6/25, 6:55:01 PM,C,22.127
7/6/25, 7:05:01 PM,C,21.626
7/6/25, 7:15:01 PM,C,19.623
7/6/25, 7:25:01 PM,C,18.621
7/6/25, 7:35:01 PM,C,17.118
7/6/25, 7:45:01 PM,C,16.617
7/6/25, 7:55:01 PM,C,15.614
7/6/25, 8:05:01 PM,C,14.611
7/6/25, 8:15:01 PM,C,14.109
7/6/25, 8:25:01 PM,C,13.106
7/6/25, 8:35:01 PM,C,12.604
7/6/25, 8:45:01 PM,C,12.102
7/6/25, 8:55:01 PM,C,11.6
7/6/25, 9:05:01 PM,C,10.596
7/6/25, 9:15:01 PM,C,10.094
7/6/25, 9:25:01 PM,C,10.094
7/6/25, 9:35:01 PM,C,9.592
7/6/25, 9:45:01 PM,C,9.089
7/6/25, 9:55:01 PM,C,8.587
7/6/25, 10:05:01 PM,C,8.587
7/6/25, 10:15:01 PM,C,8.587
7/6/25, 10:25:01 PM,C,8.084
7/6/25, 10:35:01 PM,C,7.582
7/6/25, 10:45:01 PM,C,7.582
7/6/25, 10:55:01 PM,C,7.582
7/6/25, 11:05:01 PM,C,7.079
7/6/25, 11:15:01 PM,C,7.079
7/6/25, 11:25:01 PM,C,6.577
7/6/25, 11:35:01 PM,C,6.577
7/6/25, 11:45:01 PM,C,6.074
7/6/25, 11:55:01 PM,C,6.074
7/7/25, 12:05:01 AM,C,5.571
7/7/25, 12:15:01 AM,C,5.571
7/7/25, 12:25:01 AM,C,5.571
7/7/25, 12:35:01 AM,C,5.571
7/7/25, 12:45:01 AM,C,5.571
7/7/25, 12:55:01 AM,C,5.068
7/7/25, 1:05:01 AM,C,5.068
7/7/25, 1:15:01 AM,C,5.068
7/7/25, 1:25:01 AM,C,4.565
7/7/25, 1:35:01 AM,C,4.565
7/7/25, 1:45:01 AM,C,4.565
7/7/25, 1:55:01 AM,C,4.062
7/7/25, 2:05:01 AM,C,4.062
7/7/25, 2:15:01 AM,C,4.062
7/7/25, 2:25:01 AM,C,4.062
7/7/25, 2:35:01 AM,C,3.559
7/7/25, 2:45:01 AM,C,3.559
7/7/25, 2:55:01 AM,C,3.559
7/7/25, 3:05:01 AM,C,3.559
7/7/25, 3:15:01 AM,C,3.559
7/7/25, 3:25:01 AM,C,3.056
7/7/25, 3:35:01 AM,C,3.056
7/7/25, 3:45:01 AM,C,3.056
7/7/25, 3:55:01 AM,C,3.056
7/7/25, 4:05:01 AM,C,2.553
7/7/25, 4:15:01 AM,C,2.553
7/7/25, 4:25:01 AM,C,2.553
7/7/25, 4:35:01 AM,C,2.553
7/7/25, 4:45:01 AM,C,2.553
7/7/25, 4:55:01 AM,C,2.05
7/7/25, 5:05:01 AM,C,2.05
7/7/25, 5:15:01 AM,C,2.05
7/7/25, 5:25:01 AM,C,2.05
7/7/25, 5:35:01 AM,C,2.05
7/7/25, 5:45:01 AM,C,2.05
7/7/25, 5:55:01 AM,C,1.546
7/7/25, 6:05:01 AM,C,2.05
7/7/25, 6:15:01 AM,C,2.05
7/7/25, 6:25:01 AM,C,2.553
7/7/25, 6:35:01 AM,C,2.553
7/7/25, 6:45:01 AM,C,3.559
7/7/25, 6:55:01 AM,C,4.565
7/7/25, 7:05:01 AM,C,5.068
7/7/25, 7:15:01 AM,C,6.074
7/7/25, 7:25:01 AM,C,12.102
7/7/25, 7:35:01 AM,C,11.098
7/7/25, 7:45:01 AM,C,16.617
7/7/25, 7:55:01 AM,C,19.623
7/7/25, 8:05:01 AM,C,21.126
7/7/25, 8:15:01 AM,C,22.627
7/7/25, 8:25:01 AM,C,23.628
7/7/25, 8:35:01 AM,C,25.129
7/7/25, 8:45:01 AM,C,26.129
7/7/25, 8:55:01 AM,C,26.629
7/7/25, 9:05:01 AM,C,27.629
7/7/25, 9:15:01 AM,C,28.628
7/7/25, 9:25:01 AM,C,29.627
7/7/25, 9:35:01 AM,C,29.627
7/7/25, 9:45:01 AM,C,30.127
7/7/25, 9:55:01 AM,C,28.128
7/7/25, 10:05:01 AM,C,29.128
7/7/25, 10:15:01 AM,C,29.627
7/7/25, 10:25:01 AM,C,30.127
7/7/25, 10:35:01 AM,C,31.625
7/7/25, 10:45:01 AM,C,31.126
7/7/25, 10:55:01 AM,C,30.626
7/7/25, 11:05:01 AM,C,30.626
7/7/25, 11:15:01 AM,C,31.625
7/7/25, 11:25:01 AM,C,31.625
7/7/25, 11:35:01 AM,C,31.625
7/7/25, 11:45:01 AM,C,31.126
7/7/25, 11:55:01 AM,C,32.623
7/7/25, 12:05:01 PM,C,32.623
7/7/25, 12:15:01 PM,C,31.625
7/7/25, 12:25:01 PM,C,32.124
7/7/25, 12:35:01 PM,C,32.623
7/7/25, 12:45:01 PM,C,31.625
7/7/25, 12:55:01 PM,C,32.623
7/7/25, 1:05:01 PM,C,33.122
7/7/25, 1:15:01 PM,C,33.621
7/7/25, 1:25:01 PM,C,33.122
7/7/25, 1:35:01 PM,C,33.122
7/7/25, 1:45:01 PM,C,34.619
7/7/25, 1:55:01 PM,C,33.621
7/7/25, 2:05:01 PM,C,33.122
7/7/25, 2:15:01 PM,C,35.118
7/7/25, 2:25:01 PM,C,34.619
7/7/25, 2:35:01 PM,C,33.621
7/7/25, 2:45:01 PM,C,34.619
7/7/25, 2:55:01 PM,C,35.118
7/7/25, 3:05:01 PM,C,34.12
7/7/25, 3:15:01 PM,C,34.12
7/7/25, 3:25:01 PM,C,34.619
7/7/25, 3:35:01 PM,C,34.12
7/7/25, 3:45:01 PM,C,33.621
7/7/25, 3:55:01 PM,C,33.122
7/7/25, 4:05:01 PM,C,33.621
7/7/25, 4:15:01 PM,C,33.621
7/7/25, 4:25:01 PM,C,33.621
7/7/25, 4:35:01 PM,C,33.122
7/7/25, 4:45:01 PM,C,33.122
7/7/25, 4:55:01 PM,C,31.625
7/7/25, 5:05:01 PM,C,31.126
7/7/25, 5:15:01 PM,C,31.126
7/7/25, 5:25:01 PM,C,31.126
7/7/25, 5:35:01 PM,C,29.627
7/7/25, 5:45:01 PM,C,28.628
7/7/25, 5:55:01 PM,C,28.628
7/7/25, 6:05:01 PM,C,28.628
7/7/25, 6:15:01 PM,C,27.629
