1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2C000000817ACA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 15:05:01 PDT 2025
Mission Sample Count:  3748
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 15:05:01 PDT 2025
Total Mission Samples:  3748
Total Device Samples:  16704
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 3:05:01 PM,C,33.621
7/27/25, 3:15:01 PM,C,22.127
7/27/25, 3:25:01 PM,C,23.128
7/27/25, 3:35:01 PM,C,23.128
7/27/25, 3:45:01 PM,C,22.627
7/27/25, 3:55:01 PM,C,26.629
7/27/25, 4:05:01 PM,C,27.129
7/27/25, 4:15:01 PM,C,25.129
7/27/25, 4:25:01 PM,C,27.129
7/27/25, 4:35:01 PM,C,23.628
7/27/25, 4:45:01 PM,C,22.627
7/27/25, 4:55:01 PM,C,22.127
7/27/25, 5:05:01 PM,C,21.626
7/27/25, 5:15:01 PM,C,22.127
7/27/25, 5:25:01 PM,C,22.127
7/27/25, 5:35:01 PM,C,21.626
7/27/25, 5:45:01 PM,C,21.626
7/27/25, 5:55:01 PM,C,21.626
7/27/25, 6:05:01 PM,C,21.126
7/27/25, 6:15:01 PM,C,21.126
7/27/25, 6:25:01 PM,C,21.126
7/27/25, 6:35:01 PM,C,20.625
7/27/25, 6:45:01 PM,C,19.623
7/27/25, 6:55:01 PM,C,19.122
7/27/25, 7:05:01 PM,C,18.12
7/27/25, 7:15:01 PM,C,17.118
7/27/25, 7:25:01 PM,C,17.619
7/27/25, 7:35:01 PM,C,16.617
7/27/25, 7:45:01 PM,C,15.112
7/27/25, 7:55:01 PM,C,14.109
7/27/25, 8:05:01 PM,C,13.106
7/27/25, 8:15:01 PM,C,12.604
7/27/25, 8:25:01 PM,C,12.102
7/27/25, 8:35:01 PM,C,11.6
7/27/25, 8:45:01 PM,C,11.098
7/27/25, 8:55:01 PM,C,10.596
7/27/25, 9:05:01 PM,C,10.596
7/27/25, 9:15:01 PM,C,10.094
7/27/25, 9:25:01 PM,C,9.592
7/27/25, 9:35:01 PM,C,9.089
7/27/25, 9:45:01 PM,C,9.089
7/27/25, 9:55:01 PM,C,8.587
7/27/25, 10:05:01 PM,C,8.084
7/27/25, 10:15:01 PM,C,8.587
7/27/25, 10:25:01 PM,C,8.084
7/27/25, 10:35:01 PM,C,7.582
7/27/25, 10:45:01 PM,C,7.582
7/27/25, 10:55:01 PM,C,7.079
7/27/25, 11:05:01 PM,C,7.079
7/27/25, 11:15:01 PM,C,6.577
7/27/25, 11:25:01 PM,C,6.074
7/27/25, 11:35:01 PM,C,6.074
7/27/25, 11:45:01 PM,C,5.571
7/27/25, 11:55:01 PM,C,5.571
7/28/25, 12:05:01 AM,C,5.068
7/28/25, 12:15:01 AM,C,4.565
7/28/25, 12:25:01 AM,C,4.565
7/28/25, 12:35:01 AM,C,4.565
7/28/25, 12:45:01 AM,C,4.062
7/28/25, 12:55:01 AM,C,4.062
7/28/25, 1:05:01 AM,C,4.062
7/28/25, 1:15:01 AM,C,3.559
7/28/25, 1:25:01 AM,C,3.559
7/28/25, 1:35:01 AM,C,3.559
7/28/25, 1:45:01 AM,C,3.559
7/28/25, 1:55:01 AM,C,3.056
7/28/25, 2:05:01 AM,C,3.056
7/28/25, 2:15:01 AM,C,3.056
7/28/25, 2:25:01 AM,C,2.553
7/28/25, 2:35:01 AM,C,2.553
7/28/25, 2:45:01 AM,C,2.553
7/28/25, 2:55:01 AM,C,2.553
7/28/25, 3:05:01 AM,C,2.05
7/28/25, 3:15:01 AM,C,2.05
7/28/25, 3:25:01 AM,C,2.05
7/28/25, 3:35:01 AM,C,1.546
7/28/25, 3:45:01 AM,C,1.546
7/28/25, 3:55:01 AM,C,1.546
7/28/25, 4:05:01 AM,C,1.546
7/28/25, 4:15:01 AM,C,1.043
7/28/25, 4:25:01 AM,C,1.043
7/28/25, 4:35:01 AM,C,1.043
7/28/25, 4:45:01 AM,C,0.539
7/28/25, 4:55:01 AM,C,0.539
7/28/25, 5:05:01 AM,C,0.539
7/28/25, 5:15:01 AM,C,0.539
7/28/25, 5:25:01 AM,C,0.539
7/28/25, 5:35:01 AM,C,0.036
7/28/25, 5:45:01 AM,C,0.036
7/28/25, 5:55:01 AM,C,0.036
7/28/25, 6:05:01 AM,C,0.036
7/28/25, 6:15:01 AM,C,0.036
7/28/25, 6:25:01 AM,C,0.036
7/28/25, 6:35:01 AM,C,0.036
7/28/25, 6:45:01 AM,C,0.539
7/28/25, 6:55:01 AM,C,0.539
7/28/25, 7:05:01 AM,C,1.043
7/28/25, 7:15:01 AM,C,1.546
7/28/25, 7:25:01 AM,C,2.05
7/28/25, 7:35:01 AM,C,2.553
7/28/25, 7:45:01 AM,C,3.559
7/28/25, 7:55:01 AM,C,5.068
7/28/25, 8:05:01 AM,C,5.571
7/28/25, 8:15:01 AM,C,6.577
7/28/25, 8:25:01 AM,C,7.582
7/28/25, 8:35:01 AM,C,8.587
7/28/25, 8:45:01 AM,C,9.592
7/28/25, 8:55:01 AM,C,10.596
7/28/25, 9:05:01 AM,C,11.6
7/28/25, 9:15:01 AM,C,13.106
7/28/25, 9:25:01 AM,C,14.109
7/28/25, 9:35:01 AM,C,15.112
7/28/25, 9:45:01 AM,C,16.115
7/28/25, 9:55:01 AM,C,16.115
7/28/25, 10:05:01 AM,C,16.617
7/28/25, 10:15:01 AM,C,17.619
7/28/25, 10:25:01 AM,C,18.12
7/28/25, 10:35:01 AM,C,18.12
7/28/25, 10:45:01 AM,C,18.12
7/28/25, 10:55:01 AM,C,19.122
7/28/25, 11:05:01 AM,C,19.623
7/28/25, 11:15:01 AM,C,20.625
7/28/25, 11:25:01 AM,C,20.625
7/28/25, 11:35:01 AM,C,22.627
7/28/25, 11:45:01 AM,C,27.629
7/28/25, 11:55:01 AM,C,28.128
7/28/25, 12:05:01 PM,C,30.127
7/28/25, 12:15:01 PM,C,30.127
7/28/25, 12:25:01 PM,C,27.629
7/28/25, 12:35:01 PM,C,31.625
7/28/25, 12:45:01 PM,C,31.625
7/28/25, 12:55:01 PM,C,24.629
7/28/25, 1:05:01 PM,C,28.628
7/28/25, 1:15:01 PM,C,30.626
7/28/25, 1:25:01 PM,C,31.126
7/28/25, 1:35:01 PM,C,30.626
7/28/25, 1:45:01 PM,C,32.124
7/28/25, 1:55:01 PM,C,32.124
7/28/25, 2:05:01 PM,C,30.127
7/28/25, 2:15:01 PM,C,31.625
7/28/25, 2:25:01 PM,C,31.625
7/28/25, 2:35:01 PM,C,32.124
7/28/25, 2:45:01 PM,C,31.126
7/28/25, 2:55:01 PM,C,31.126
7/28/25, 3:05:01 PM,C,31.625
7/28/25, 3:15:01 PM,C,30.626
7/28/25, 3:25:01 PM,C,30.127
7/28/25, 3:35:01 PM,C,31.625
7/28/25, 3:45:01 PM,C,29.128
7/28/25, 3:55:01 PM,C,30.626
7/28/25, 4:05:01 PM,C,29.128
7/28/25, 4:15:01 PM,C,27.129
7/28/25, 4:25:01 PM,C,28.128
7/28/25, 4:35:01 PM,C,25.129
7/28/25, 4:45:01 PM,C,24.629
7/28/25, 4:55:01 PM,C,23.628
7/28/25, 5:05:01 PM,C,23.628
7/28/25, 5:15:01 PM,C,24.629
7/28/25, 5:25:01 PM,C,23.628
7/28/25, 5:35:01 PM,C,23.128
7/28/25, 5:45:01 PM,C,23.128
7/28/25, 5:55:01 PM,C,23.128
7/28/25, 6:05:01 PM,C,22.627
7/28/25, 6:15:01 PM,C,22.627
7/28/25, 6:25:01 PM,C,21.626
7/28/25, 6:35:01 PM,C,21.126
7/28/25, 6:45:01 PM,C,20.124
7/28/25, 6:55:01 PM,C,19.122
7/28/25, 7:05:01 PM,C,18.621
7/28/25, 7:15:01 PM,C,19.122
7/28/25, 7:25:01 PM,C,18.12
7/28/25, 7:35:01 PM,C,17.619
7/28/25, 7:45:01 PM,C,17.118
7/28/25, 7:55:01 PM,C,16.115
7/28/25, 8:05:01 PM,C,16.115
7/28/25, 8:15:01 PM,C,14.611
7/28/25, 8:25:01 PM,C,13.106
7/28/25, 8:35:01 PM,C,12.102
7/28/25, 8:45:01 PM,C,11.6
7/28/25, 8:55:01 PM,C,11.098
7/28/25, 9:05:01 PM,C,10.094
7/28/25, 9:15:01 PM,C,9.089
7/28/25, 9:25:01 PM,C,8.587
7/28/25, 9:35:01 PM,C,8.587
7/28/25, 9:45:01 PM,C,8.084
7/28/25, 9:55:01 PM,C,7.582
7/28/25, 10:05:01 PM,C,7.079
7/28/25, 10:15:01 PM,C,7.582
7/28/25, 10:25:01 PM,C,7.582
7/28/25, 10:35:01 PM,C,7.079
7/28/25, 10:45:01 PM,C,6.577
7/28/25, 10:55:01 PM,C,6.074
7/28/25, 11:05:01 PM,C,6.074
7/28/25, 11:15:01 PM,C,5.571
7/28/25, 11:25:01 PM,C,5.571
7/28/25, 11:35:01 PM,C,5.571
7/28/25, 11:45:01 PM,C,5.068
7/28/25, 11:55:01 PM,C,4.565
7/29/25, 12:05:01 AM,C,4.565
7/29/25, 12:15:01 AM,C,4.062
7/29/25, 12:25:01 AM,C,4.062
7/29/25, 12:35:01 AM,C,3.559
7/29/25, 12:45:01 AM,C,4.062
7/29/25, 12:55:01 AM,C,3.559
7/29/25, 1:05:01 AM,C,3.559
7/29/25, 1:15:01 AM,C,3.056
7/29/25, 1:25:01 AM,C,3.056
7/29/25, 1:35:01 AM,C,3.056
7/29/25, 1:45:01 AM,C,2.553
7/29/25, 1:55:01 AM,C,2.553
7/29/25, 2:05:01 AM,C,2.553
7/29/25, 2:15:01 AM,C,2.05
7/29/25, 2:25:01 AM,C,2.05
7/29/25, 2:35:01 AM,C,2.05
7/29/25, 2:45:01 AM,C,1.546
7/29/25, 2:55:01 AM,C,1.546
7/29/25, 3:05:01 AM,C,1.546
7/29/25, 3:15:01 AM,C,1.043
7/29/25, 3:25:01 AM,C,1.043
7/29/25, 3:35:01 AM,C,1.043
7/29/25, 3:45:01 AM,C,0.539
7/29/25, 3:55:01 AM,C,0.539
7/29/25, 4:05:01 AM,C,0.539
7/29/25, 4:15:01 AM,C,0.539
7/29/25, 4:25:01 AM,C,0.036
7/29/25, 4:35:01 AM,C,0.036
7/29/25, 4:45:01 AM,C,0.036
7/29/25, 4:55:01 AM,C,0.036
7/29/25, 5:05:01 AM,C,-0.468
7/29/25, 5:15:01 AM,C,-0.468
7/29/25, 5:25:01 AM,C,-0.468
7/29/25, 5:35:01 AM,C,-0.468
7/29/25, 5:45:01 AM,C,-0.468
7/29/25, 5:55:01 AM,C,-0.468
7/29/25, 6:05:01 AM,C,-0.468
7/29/25, 6:15:01 AM,C,-0.468
7/29/25, 6:25:01 AM,C,-0.468
7/29/25, 6:35:01 AM,C,0.036
7/29/25, 6:45:01 AM,C,0.036
7/29/25, 6:55:01 AM,C,0.539
7/29/25, 7:05:01 AM,C,1.043
7/29/25, 7:15:01 AM,C,1.546
7/29/25, 7:25:01 AM,C,2.05
7/29/25, 7:35:01 AM,C,3.056
7/29/25, 7:45:01 AM,C,4.062
7/29/25, 7:55:01 AM,C,5.571
7/29/25, 8:05:01 AM,C,6.074
7/29/25, 8:15:01 AM,C,7.582
7/29/25, 8:25:01 AM,C,8.587
7/29/25, 8:35:01 AM,C,10.094
7/29/25, 8:45:01 AM,C,11.098
7/29/25, 8:55:01 AM,C,12.102
7/29/25, 9:05:01 AM,C,12.604
7/29/25, 9:15:01 AM,C,14.109
7/29/25, 9:25:01 AM,C,15.614
7/29/25, 9:35:01 AM,C,16.617
7/29/25, 9:45:01 AM,C,17.118
7/29/25, 9:55:01 AM,C,17.619
7/29/25, 10:05:01 AM,C,18.12
7/29/25, 10:15:01 AM,C,18.621
7/29/25, 10:25:01 AM,C,19.122
7/29/25, 10:35:01 AM,C,19.122
7/29/25, 10:45:01 AM,C,19.623
7/29/25, 10:55:01 AM,C,20.124
7/29/25, 11:05:01 AM,C,20.625
7/29/25, 11:15:01 AM,C,21.126
7/29/25, 11:25:01 AM,C,21.626
7/29/25, 11:35:01 AM,C,23.128
7/29/25, 11:45:01 AM,C,28.128
7/29/25, 11:55:01 AM,C,28.128
7/29/25, 12:05:01 PM,C,29.128
7/29/25, 12:15:01 PM,C,31.126
7/29/25, 12:25:01 PM,C,32.623
7/29/25, 12:35:01 PM,C,33.122
7/29/25, 12:45:01 PM,C,33.122
7/29/25, 12:55:01 PM,C,32.623
7/29/25, 1:05:01 PM,C,31.126
7/29/25, 1:15:01 PM,C,34.619
7/29/25, 1:25:01 PM,C,32.623
7/29/25, 1:35:01 PM,C,32.623
7/29/25, 1:45:01 PM,C,34.619
7/29/25, 1:55:01 PM,C,33.122
7/29/25, 2:05:01 PM,C,35.616
7/29/25, 2:15:01 PM,C,33.621
7/29/25, 2:25:01 PM,C,33.122
7/29/25, 2:35:01 PM,C,35.616
7/29/25, 2:45:01 PM,C,33.621
7/29/25, 2:55:01 PM,C,31.625
7/29/25, 3:05:01 PM,C,33.621
7/29/25, 3:15:01 PM,C,29.627
7/29/25, 3:25:01 PM,C,29.128
7/29/25, 3:35:01 PM,C,31.625
7/29/25, 3:45:01 PM,C,32.623
7/29/25, 3:55:01 PM,C,31.625
7/29/25, 4:05:01 PM,C,31.625
7/29/25, 4:15:01 PM,C,30.626
7/29/25, 4:25:01 PM,C,27.129
7/29/25, 4:35:01 PM,C,26.629
7/29/25, 4:45:01 PM,C,25.129
7/29/25, 4:55:01 PM,C,23.628
7/29/25, 5:05:01 PM,C,24.128
7/29/25, 5:15:01 PM,C,24.629
7/29/25, 5:25:01 PM,C,23.628
7/29/25, 5:35:01 PM,C,23.128
7/29/25, 5:45:01 PM,C,23.128
7/29/25, 5:55:01 PM,C,23.128
7/29/25, 6:05:01 PM,C,22.627
7/29/25, 6:15:01 PM,C,22.627
7/29/25, 6:25:01 PM,C,22.127
7/29/25, 6:35:01 PM,C,21.626
7/29/25, 6:45:01 PM,C,21.126
7/29/25, 6:55:01 PM,C,20.625
7/29/25, 7:05:01 PM,C,20.124
7/29/25, 7:15:01 PM,C,19.623
7/29/25, 7:25:01 PM,C,19.122
7/29/25, 7:35:01 PM,C,18.621
7/29/25, 7:45:01 PM,C,18.12
7/29/25, 7:55:01 PM,C,17.619
7/29/25, 8:05:01 PM,C,16.115
7/29/25, 8:15:01 PM,C,14.611
7/29/25, 8:25:01 PM,C,14.109
7/29/25, 8:35:01 PM,C,13.106
7/29/25, 8:45:01 PM,C,12.102
7/29/25, 8:55:01 PM,C,11.6
7/29/25, 9:05:01 PM,C,11.098
7/29/25, 9:15:01 PM,C,10.596
7/29/25, 9:25:01 PM,C,10.094
7/29/25, 9:35:01 PM,C,10.094
7/29/25, 9:45:01 PM,C,10.094
7/29/25, 9:55:01 PM,C,9.592
7/29/25, 10:05:01 PM,C,9.089
7/29/25, 10:15:01 PM,C,9.089
7/29/25, 10:25:01 PM,C,8.587
7/29/25, 10:35:01 PM,C,8.587
7/29/25, 10:45:01 PM,C,8.587
7/29/25, 10:55:01 PM,C,8.084
7/29/25, 11:05:01 PM,C,8.084
7/29/25, 11:15:01 PM,C,7.582
7/29/25, 11:25:01 PM,C,7.079
7/29/25, 11:35:01 PM,C,7.079
7/29/25, 11:45:01 PM,C,7.079
7/29/25, 11:55:01 PM,C,6.577
7/30/25, 12:05:01 AM,C,6.577
7/30/25, 12:15:01 AM,C,7.079
7/30/25, 12:25:01 AM,C,6.577
7/30/25, 12:35:01 AM,C,6.577
7/30/25, 12:45:01 AM,C,6.577
7/30/25, 12:55:01 AM,C,6.577
7/30/25, 1:05:01 AM,C,6.577
7/30/25, 1:15:01 AM,C,7.079
7/30/25, 1:25:01 AM,C,7.079
7/30/25, 1:35:01 AM,C,7.582
7/30/25, 1:45:01 AM,C,7.582
7/30/25, 1:55:01 AM,C,7.582
7/30/25, 2:05:01 AM,C,8.084
7/30/25, 2:15:01 AM,C,8.084
7/30/25, 2:25:01 AM,C,8.587
7/30/25, 2:35:01 AM,C,8.587
7/30/25, 2:45:01 AM,C,9.089
7/30/25, 2:55:01 AM,C,9.089
7/30/25, 3:05:01 AM,C,9.089
7/30/25, 3:15:01 AM,C,9.089
7/30/25, 3:25:01 AM,C,9.089
7/30/25, 3:35:01 AM,C,9.089
7/30/25, 3:45:01 AM,C,9.089
7/30/25, 3:55:01 AM,C,9.089
7/30/25, 4:05:01 AM,C,9.089
7/30/25, 4:15:01 AM,C,9.089
7/30/25, 4:25:01 AM,C,9.089
7/30/25, 4:35:01 AM,C,9.089
7/30/25, 4:45:01 AM,C,9.089
7/30/25, 4:55:01 AM,C,9.089
7/30/25, 5:05:01 AM,C,9.089
7/30/25, 5:15:01 AM,C,9.592
7/30/25, 5:25:01 AM,C,9.089
7/30/25, 5:35:01 AM,C,9.089
7/30/25, 5:45:01 AM,C,9.089
7/30/25, 5:55:01 AM,C,9.089
7/30/25, 6:05:01 AM,C,9.089
7/30/25, 6:15:01 AM,C,9.089
7/30/25, 6:25:01 AM,C,9.089
7/30/25, 6:35:01 AM,C,9.089
7/30/25, 6:45:01 AM,C,9.592
7/30/25, 6:55:01 AM,C,10.094
7/30/25, 7:05:01 AM,C,10.094
7/30/25, 7:15:01 AM,C,10.094
7/30/25, 7:25:01 AM,C,10.094
7/30/25, 7:35:01 AM,C,10.596
7/30/25, 7:45:01 AM,C,11.6
7/30/25, 7:55:01 AM,C,12.604
7/30/25, 8:05:01 AM,C,13.106
7/30/25, 8:15:01 AM,C,13.608
7/30/25, 8:25:01 AM,C,14.611
7/30/25, 8:35:01 AM,C,16.617
7/30/25, 8:45:01 AM,C,18.12
7/30/25, 8:55:01 AM,C,18.621
7/30/25, 9:05:01 AM,C,19.623
7/30/25, 9:15:01 AM,C,20.124
7/30/25, 9:25:01 AM,C,21.126
7/30/25, 9:35:01 AM,C,20.124
7/30/25, 9:45:01 AM,C,21.126
7/30/25, 9:55:01 AM,C,21.626
7/30/25, 10:05:01 AM,C,22.127
7/30/25, 10:15:01 AM,C,21.126
7/30/25, 10:25:01 AM,C,20.625
7/30/25, 10:35:01 AM,C,20.625
7/30/25, 10:45:01 AM,C,21.626
7/30/25, 10:55:01 AM,C,22.127
7/30/25, 11:05:01 AM,C,22.127
7/30/25, 11:15:01 AM,C,21.626
7/30/25, 11:25:01 AM,C,22.127
7/30/25, 11:35:01 AM,C,23.128
7/30/25, 11:45:01 AM,C,27.129
7/30/25, 11:55:01 AM,C,26.129
7/30/25, 12:05:01 PM,C,22.627
7/30/25, 12:15:01 PM,C,21.126
7/30/25, 12:25:01 PM,C,23.128
7/30/25, 12:35:01 PM,C,25.629
7/30/25, 12:45:01 PM,C,26.629
7/30/25, 12:55:01 PM,C,27.129
7/30/25, 1:05:01 PM,C,26.129
7/30/25, 1:15:01 PM,C,27.129
7/30/25, 1:25:01 PM,C,28.628
7/30/25, 1:35:01 PM,C,29.128
7/30/25, 1:45:01 PM,C,28.628
7/30/25, 1:55:01 PM,C,25.629
7/30/25, 2:05:01 PM,C,25.629
7/30/25, 2:15:01 PM,C,29.128
7/30/25, 2:25:01 PM,C,30.127
7/30/25, 2:35:01 PM,C,28.128
7/30/25, 2:45:01 PM,C,29.128
7/30/25, 2:55:01 PM,C,29.627
7/30/25, 3:05:01 PM,C,26.629
7/30/25, 3:15:01 PM,C,26.129
7/30/25, 3:25:01 PM,C,27.129
7/30/25, 3:35:01 PM,C,27.629
7/30/25, 3:45:01 PM,C,23.128
7/30/25, 3:55:01 PM,C,24.128
7/30/25, 4:05:01 PM,C,24.629
7/30/25, 4:15:01 PM,C,22.127
7/30/25, 4:25:01 PM,C,21.626
7/30/25, 4:35:01 PM,C,21.626
7/30/25, 4:45:01 PM,C,21.626
7/30/25, 4:55:01 PM,C,20.625
7/30/25, 5:05:01 PM,C,20.124
7/30/25, 5:15:01 PM,C,21.626
7/30/25, 5:25:01 PM,C,21.626
7/30/25, 5:35:01 PM,C,21.626
7/30/25, 5:45:01 PM,C,21.126
7/30/25, 5:55:01 PM,C,20.625
7/30/25, 6:05:01 PM,C,21.126
7/30/25, 6:15:01 PM,C,21.126
7/30/25, 6:25:01 PM,C,22.127
7/30/25, 6:35:01 PM,C,20.625
7/30/25, 6:45:01 PM,C,20.124
7/30/25, 6:55:01 PM,C,19.623
7/30/25, 7:05:01 PM,C,19.122
7/30/25, 7:15:01 PM,C,18.621
7/30/25, 7:25:01 PM,C,18.621
7/30/25, 7:35:01 PM,C,18.12
7/30/25, 7:45:01 PM,C,18.12
7/30/25, 7:55:01 PM,C,17.118
7/30/25, 8:05:01 PM,C,16.115
7/30/25, 8:15:01 PM,C,15.112
7/30/25, 8:25:01 PM,C,14.611
7/30/25, 8:35:01 PM,C,14.109
7/30/25, 8:45:01 PM,C,13.608
7/30/25, 8:55:01 PM,C,13.106
7/30/25, 9:05:01 PM,C,13.106
7/30/25, 9:15:01 PM,C,13.106
7/30/25, 9:25:01 PM,C,13.106
7/30/25, 9:35:01 PM,C,12.604
7/30/25, 9:45:01 PM,C,12.102
7/30/25, 9:55:01 PM,C,11.6
7/30/25, 10:05:01 PM,C,11.6
7/30/25, 10:15:01 PM,C,11.6
7/30/25, 10:25:01 PM,C,11.6
7/30/25, 10:35:01 PM,C,11.6
7/30/25, 10:45:01 PM,C,11.6
7/30/25, 10:55:01 PM,C,11.098
7/30/25, 11:05:01 PM,C,11.098
7/30/25, 11:15:01 PM,C,10.596
7/30/25, 11:25:01 PM,C,10.094
7/30/25, 11:35:01 PM,C,9.592
7/30/25, 11:45:01 PM,C,8.587
7/30/25, 11:55:01 PM,C,8.084
7/31/25, 12:05:01 AM,C,7.582
7/31/25, 12:15:01 AM,C,7.079
7/31/25, 12:25:01 AM,C,7.079
7/31/25, 12:35:01 AM,C,6.074
7/31/25, 12:45:01 AM,C,6.074
7/31/25, 12:55:01 AM,C,5.571
7/31/25, 1:05:01 AM,C,5.571
7/31/25, 1:15:01 AM,C,5.068
7/31/25, 1:25:01 AM,C,5.068
7/31/25, 1:35:01 AM,C,4.565
7/31/25, 1:45:01 AM,C,4.565
7/31/25, 1:55:01 AM,C,4.062
7/31/25, 2:05:01 AM,C,4.062
7/31/25, 2:15:01 AM,C,4.062
7/31/25, 2:25:01 AM,C,3.559
7/31/25, 2:35:01 AM,C,3.559
7/31/25, 2:45:01 AM,C,3.056
7/31/25, 2:55:01 AM,C,3.056
7/31/25, 3:05:01 AM,C,3.056
7/31/25, 3:15:01 AM,C,2.553
7/31/25, 3:25:01 AM,C,2.553
7/31/25, 3:35:01 AM,C,2.553
7/31/25, 3:45:01 AM,C,2.553
7/31/25, 3:55:01 AM,C,2.05
7/31/25, 4:05:01 AM,C,2.05
7/31/25, 4:15:01 AM,C,2.05
7/31/25, 4:25:01 AM,C,1.546
7/31/25, 4:35:01 AM,C,1.546
7/31/25, 4:45:01 AM,C,1.546
7/31/25, 4:55:01 AM,C,1.546
7/31/25, 5:05:01 AM,C,1.546
7/31/25, 5:15:01 AM,C,1.043
7/31/25, 5:25:01 AM,C,1.043
7/31/25, 5:35:01 AM,C,1.043
7/31/25, 5:45:01 AM,C,1.043
7/31/25, 5:55:01 AM,C,1.043
7/31/25, 6:05:01 AM,C,1.043
7/31/25, 6:15:01 AM,C,1.043
7/31/25, 6:25:01 AM,C,1.043
7/31/25, 6:35:01 AM,C,1.043
7/31/25, 6:45:01 AM,C,1.043
7/31/25, 6:55:01 AM,C,1.546
7/31/25, 7:05:01 AM,C,2.05
7/31/25, 7:15:01 AM,C,2.05
7/31/25, 7:25:01 AM,C,3.056
7/31/25, 7:35:01 AM,C,3.559
7/31/25, 7:45:01 AM,C,5.068
7/31/25, 7:55:01 AM,C,6.074
7/31/25, 8:05:01 AM,C,6.577
7/31/25, 8:15:01 AM,C,7.582
7/31/25, 8:25:01 AM,C,9.089
7/31/25, 8:35:01 AM,C,10.094
7/31/25, 8:45:01 AM,C,11.6
7/31/25, 8:55:01 AM,C,12.604
7/31/25, 9:05:01 AM,C,13.106
7/31/25, 9:15:01 AM,C,15.112
7/31/25, 9:25:01 AM,C,17.118
7/31/25, 9:35:01 AM,C,17.619
7/31/25, 9:45:01 AM,C,18.12
7/31/25, 9:55:01 AM,C,18.621
7/31/25, 10:05:01 AM,C,18.621
7/31/25, 10:15:01 AM,C,18.621
7/31/25, 10:25:01 AM,C,19.122
7/31/25, 10:35:01 AM,C,19.122
7/31/25, 10:45:01 AM,C,19.623
7/31/25, 10:55:01 AM,C,20.124
7/31/25, 11:05:01 AM,C,20.124
7/31/25, 11:15:01 AM,C,20.625
7/31/25, 11:25:01 AM,C,20.625
7/31/25, 11:35:01 AM,C,23.128
7/31/25, 11:45:01 AM,C,27.129
7/31/25, 11:55:01 AM,C,25.629
7/31/25, 12:05:01 PM,C,27.129
7/31/25, 12:15:01 PM,C,29.128
7/31/25, 12:25:01 PM,C,30.127
7/31/25, 12:35:01 PM,C,29.128
7/31/25, 12:45:01 PM,C,30.626
7/31/25, 12:55:01 PM,C,31.126
7/31/25, 1:05:01 PM,C,31.126
7/31/25, 1:15:01 PM,C,30.626
7/31/25, 1:25:01 PM,C,29.128
7/31/25, 1:35:01 PM,C,30.127
7/31/25, 1:45:01 PM,C,29.627
7/31/25, 1:55:01 PM,C,29.128
7/31/25, 2:05:01 PM,C,28.628
7/31/25, 2:15:01 PM,C,30.626
7/31/25, 2:25:01 PM,C,29.627
7/31/25, 2:35:01 PM,C,28.628
7/31/25, 2:45:01 PM,C,29.627
7/31/25, 2:55:01 PM,C,28.628
7/31/25, 3:05:01 PM,C,31.126
7/31/25, 3:15:01 PM,C,27.629
7/31/25, 3:25:01 PM,C,31.126
7/31/25, 3:35:01 PM,C,27.129
7/31/25, 3:45:01 PM,C,31.126
7/31/25, 3:55:01 PM,C,28.628
7/31/25, 4:05:01 PM,C,27.629
7/31/25, 4:15:01 PM,C,26.629
7/31/25, 4:25:01 PM,C,26.129
7/31/25, 4:35:01 PM,C,26.129
7/31/25, 4:45:01 PM,C,23.628
7/31/25, 4:55:01 PM,C,23.128
7/31/25, 5:05:01 PM,C,23.128
7/31/25, 5:15:01 PM,C,24.128
7/31/25, 5:25:01 PM,C,23.628
7/31/25, 5:35:01 PM,C,23.128
7/31/25, 5:45:01 PM,C,22.627
7/31/25, 5:55:01 PM,C,22.627
7/31/25, 6:05:01 PM,C,22.627
7/31/25, 6:15:01 PM,C,22.127
7/31/25, 6:25:01 PM,C,21.626
7/31/25, 6:35:01 PM,C,21.126
7/31/25, 6:45:01 PM,C,20.625
7/31/25, 6:55:01 PM,C,20.124
7/31/25, 7:05:01 PM,C,19.623
7/31/25, 7:15:01 PM,C,19.623
7/31/25, 7:25:01 PM,C,19.122
7/31/25, 7:35:01 PM,C,18.12
7/31/25, 7:45:01 PM,C,15.614
7/31/25, 7:55:01 PM,C,14.109
7/31/25, 8:05:01 PM,C,13.106
7/31/25, 8:15:01 PM,C,12.102
7/31/25, 8:25:01 PM,C,11.098
7/31/25, 8:35:01 PM,C,10.094
7/31/25, 8:45:01 PM,C,9.592
7/31/25, 8:55:01 PM,C,9.089
7/31/25, 9:05:01 PM,C,8.587
7/31/25, 9:15:01 PM,C,8.084
7/31/25, 9:25:01 PM,C,7.582
7/31/25, 9:35:01 PM,C,7.079
7/31/25, 9:45:01 PM,C,6.577
7/31/25, 9:55:01 PM,C,6.074
7/31/25, 10:05:01 PM,C,6.074
7/31/25, 10:15:01 PM,C,5.571
7/31/25, 10:25:01 PM,C,5.068
