1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F500000081709741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Oct 20 15:12:01 PDT 2025
Mission Sample Count:  2189
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Oct 20 15:12:01 PDT 2025
Total Mission Samples:  2189
Total Device Samples:  27099
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/28/25, 1:02:01 PM,C,21.567
10/28/25, 1:12:01 PM,C,22.068
10/28/25, 1:22:01 PM,C,23.068
10/28/25, 1:32:01 PM,C,23.568
10/28/25, 1:42:01 PM,C,23.568
10/28/25, 1:52:01 PM,C,23.068
10/28/25, 2:02:01 PM,C,23.068
10/28/25, 2:12:01 PM,C,23.068
10/28/25, 2:22:01 PM,C,24.068
10/28/25, 2:32:01 PM,C,24.068
10/28/25, 2:42:01 PM,C,24.068
10/28/25, 2:52:01 PM,C,23.568
10/28/25, 3:02:01 PM,C,24.068
10/28/25, 3:12:01 PM,C,25.068
10/28/25, 3:22:01 PM,C,23.568
10/28/25, 3:32:01 PM,C,22.068
10/28/25, 3:42:01 PM,C,23.068
10/28/25, 3:52:01 PM,C,22.068
10/28/25, 4:02:01 PM,C,21.567
10/28/25, 4:12:01 PM,C,21.567
10/28/25, 4:22:01 PM,C,20.066
10/28/25, 4:32:01 PM,C,15.561
10/28/25, 4:42:01 PM,C,13.558
10/28/25, 4:52:01 PM,C,13.558
10/28/25, 5:02:01 PM,C,11.554
10/28/25, 5:12:01 PM,C,9.55
10/28/25, 5:22:01 PM,C,8.046
10/28/25, 5:32:01 PM,C,7.545
10/28/25, 5:42:01 PM,C,6.542
10/28/25, 5:52:01 PM,C,6.041
10/28/25, 6:02:01 PM,C,6.041
10/28/25, 6:12:01 PM,C,5.038
10/28/25, 6:22:01 PM,C,4.035
10/28/25, 6:32:01 PM,C,4.035
10/28/25, 6:42:01 PM,C,3.533
10/28/25, 6:52:01 PM,C,3.533
10/28/25, 7:02:01 PM,C,3.031
10/28/25, 7:12:01 PM,C,2.53
10/28/25, 7:22:01 PM,C,2.53
10/28/25, 7:32:01 PM,C,2.53
10/28/25, 7:42:01 PM,C,2.028
10/28/25, 7:52:01 PM,C,1.526
10/28/25, 8:02:01 PM,C,1.526
10/28/25, 8:12:01 PM,C,1.024
10/28/25, 8:22:01 PM,C,1.024
10/28/25, 8:32:01 PM,C,0.523
10/28/25, 8:42:01 PM,C,0.523
10/28/25, 8:52:01 PM,C,0.523
10/28/25, 9:02:01 PM,C,0.021
10/28/25, 9:12:01 PM,C,0.523
10/28/25, 9:22:01 PM,C,0.523
10/28/25, 9:32:01 PM,C,0.021
10/28/25, 9:42:01 PM,C,-0.481
10/28/25, 9:52:01 PM,C,-0.481
10/28/25, 10:02:01 PM,C,-0.481
10/28/25, 10:12:01 PM,C,-0.983
10/28/25, 10:22:01 PM,C,-0.983
10/28/25, 10:32:01 PM,C,-0.983
10/28/25, 10:42:01 PM,C,-0.983
10/28/25, 10:52:01 PM,C,-1.485
10/28/25, 11:02:01 PM,C,-1.485
10/28/25, 11:12:01 PM,C,-1.485
10/28/25, 11:22:01 PM,C,-1.485
10/28/25, 11:32:01 PM,C,-1.485
10/28/25, 11:42:01 PM,C,-1.485
10/28/25, 11:52:01 PM,C,-1.987
10/29/25, 12:02:01 AM,C,-1.987
10/29/25, 12:12:01 AM,C,-1.987
10/29/25, 12:22:01 AM,C,-1.987
10/29/25, 12:32:01 AM,C,-1.987
10/29/25, 12:42:01 AM,C,-1.987
10/29/25, 12:52:01 AM,C,-1.987
10/29/25, 1:02:01 AM,C,-1.987
10/29/25, 1:12:01 AM,C,-2.489
10/29/25, 1:22:01 AM,C,-2.489
10/29/25, 1:32:01 AM,C,-2.489
10/29/25, 1:42:01 AM,C,-2.489
10/29/25, 1:52:01 AM,C,-2.992
10/29/25, 2:02:01 AM,C,-2.992
10/29/25, 2:12:01 AM,C,-2.992
10/29/25, 2:22:01 AM,C,-2.992
10/29/25, 2:32:01 AM,C,-2.992
10/29/25, 2:42:01 AM,C,-2.992
10/29/25, 2:52:01 AM,C,-2.992
10/29/25, 3:02:01 AM,C,-2.992
10/29/25, 3:12:01 AM,C,-2.992
10/29/25, 3:22:01 AM,C,-2.489
10/29/25, 3:32:01 AM,C,-2.489
10/29/25, 3:42:01 AM,C,-2.992
10/29/25, 3:52:01 AM,C,-2.992
10/29/25, 4:02:01 AM,C,-2.992
10/29/25, 4:12:01 AM,C,-2.992
10/29/25, 4:22:01 AM,C,-2.992
10/29/25, 4:32:01 AM,C,-2.992
10/29/25, 4:42:01 AM,C,-2.992
10/29/25, 4:52:01 AM,C,-2.992
10/29/25, 5:02:01 AM,C,-2.992
10/29/25, 5:12:01 AM,C,-2.992
10/29/25, 5:22:01 AM,C,-3.494
10/29/25, 5:32:01 AM,C,-3.494
10/29/25, 5:42:01 AM,C,-3.494
10/29/25, 5:52:01 AM,C,-3.494
10/29/25, 6:02:01 AM,C,-3.494
10/29/25, 6:12:01 AM,C,-2.992
10/29/25, 6:22:01 AM,C,-3.494
10/29/25, 6:32:01 AM,C,-3.494
10/29/25, 6:42:01 AM,C,-3.494
10/29/25, 6:52:01 AM,C,-3.494
10/29/25, 7:02:01 AM,C,-3.494
10/29/25, 7:12:01 AM,C,-3.494
10/29/25, 7:22:01 AM,C,-3.494
10/29/25, 7:32:01 AM,C,-2.992
10/29/25, 7:42:01 AM,C,-3.494
10/29/25, 7:52:01 AM,C,-2.992
10/29/25, 8:02:01 AM,C,-2.992
10/29/25, 8:12:01 AM,C,-2.489
10/29/25, 8:22:01 AM,C,0.523
10/29/25, 8:32:01 AM,C,2.53
10/29/25, 8:42:01 AM,C,3.533
10/29/25, 8:52:01 AM,C,5.038
10/29/25, 9:02:01 AM,C,6.041
10/29/25, 9:12:01 AM,C,7.044
10/29/25, 9:22:01 AM,C,8.548
10/29/25, 9:32:01 AM,C,10.051
10/29/25, 9:42:01 AM,C,10.552
10/29/25, 9:52:01 AM,C,12.055
10/29/25, 10:02:01 AM,C,13.057
10/29/25, 10:12:01 AM,C,13.558
10/29/25, 10:22:01 AM,C,15.061
10/29/25, 10:32:01 AM,C,16.062
10/29/25, 10:42:01 AM,C,17.564
10/29/25, 10:52:01 AM,C,20.066
10/29/25, 11:02:01 AM,C,21.067
10/29/25, 11:12:01 AM,C,21.567
10/29/25, 11:22:01 AM,C,20.066
10/29/25, 11:32:01 AM,C,22.568
10/29/25, 11:42:01 AM,C,23.068
10/29/25, 11:52:01 AM,C,23.068
10/29/25, 12:02:01 PM,C,23.068
10/29/25, 12:12:01 PM,C,23.568
10/29/25, 12:22:01 PM,C,23.568
10/29/25, 12:32:01 PM,C,24.068
10/29/25, 12:42:01 PM,C,25.068
10/29/25, 12:52:01 PM,C,25.068
10/29/25, 1:02:01 PM,C,25.568
10/29/25, 1:12:01 PM,C,25.568
10/29/25, 1:22:01 PM,C,26.068
10/29/25, 1:32:01 PM,C,25.068
10/29/25, 1:42:01 PM,C,26.068
10/29/25, 1:52:01 PM,C,25.068
10/29/25, 2:02:01 PM,C,24.568
10/29/25, 2:12:01 PM,C,25.068
10/29/25, 2:22:01 PM,C,25.068
10/29/25, 2:32:01 PM,C,26.068
10/29/25, 2:42:01 PM,C,25.068
10/29/25, 2:52:01 PM,C,26.568
10/29/25, 3:02:01 PM,C,26.068
10/29/25, 3:12:01 PM,C,25.068
10/29/25, 3:22:01 PM,C,24.568
10/29/25, 3:32:01 PM,C,25.068
10/29/25, 3:42:01 PM,C,24.068
10/29/25, 3:52:01 PM,C,22.568
10/29/25, 4:02:01 PM,C,22.568
10/29/25, 4:12:01 PM,C,21.567
10/29/25, 4:22:01 PM,C,21.567
10/29/25, 4:32:01 PM,C,18.065
10/29/25, 4:42:01 PM,C,16.563
10/29/25, 4:52:01 PM,C,15.561
10/29/25, 5:02:01 PM,C,11.554
10/29/25, 5:12:01 PM,C,9.55
10/29/25, 5:22:01 PM,C,8.046
10/29/25, 5:32:01 PM,C,7.044
10/29/25, 5:42:01 PM,C,6.542
10/29/25, 5:52:01 PM,C,6.041
10/29/25, 6:02:01 PM,C,5.038
10/29/25, 6:12:01 PM,C,5.038
10/29/25, 6:22:01 PM,C,4.035
10/29/25, 6:32:01 PM,C,3.533
10/29/25, 6:42:01 PM,C,3.533
10/29/25, 6:52:01 PM,C,2.53
10/29/25, 7:02:01 PM,C,2.53
10/29/25, 7:12:01 PM,C,2.028
10/29/25, 7:22:01 PM,C,1.526
10/29/25, 7:32:01 PM,C,1.526
10/29/25, 7:42:01 PM,C,1.024
10/29/25, 7:52:01 PM,C,1.024
10/29/25, 8:02:01 PM,C,1.024
10/29/25, 8:12:01 PM,C,0.523
10/29/25, 8:22:01 PM,C,0.523
10/29/25, 8:32:01 PM,C,0.523
10/29/25, 8:42:01 PM,C,0.021
10/29/25, 8:52:01 PM,C,0.021
10/29/25, 9:02:01 PM,C,-0.481
10/29/25, 9:12:01 PM,C,0.021
10/29/25, 9:22:01 PM,C,-0.481
10/29/25, 9:32:01 PM,C,-0.481
10/29/25, 9:42:01 PM,C,-0.983
10/29/25, 9:52:01 PM,C,-0.983
10/29/25, 10:02:01 PM,C,-0.983
10/29/25, 10:12:01 PM,C,-1.485
10/29/25, 10:22:01 PM,C,-1.485
10/29/25, 10:32:01 PM,C,-1.485
10/29/25, 10:42:01 PM,C,-1.485
10/29/25, 10:52:01 PM,C,-1.485
10/29/25, 11:02:01 PM,C,-1.485
10/29/25, 11:12:01 PM,C,-1.987
10/29/25, 11:22:01 PM,C,-1.987
10/29/25, 11:32:01 PM,C,-1.987
10/29/25, 11:42:01 PM,C,-1.987
10/29/25, 11:52:01 PM,C,-1.987
10/30/25, 12:02:01 AM,C,-2.489
10/30/25, 12:12:01 AM,C,-2.489
10/30/25, 12:22:01 AM,C,-2.489
10/30/25, 12:32:01 AM,C,-2.489
10/30/25, 12:42:01 AM,C,-2.489
10/30/25, 12:52:01 AM,C,-2.489
10/30/25, 1:02:01 AM,C,-2.992
10/30/25, 1:12:01 AM,C,-2.992
10/30/25, 1:22:01 AM,C,-2.992
10/30/25, 1:32:01 AM,C,-2.992
10/30/25, 1:42:01 AM,C,-2.992
10/30/25, 1:52:01 AM,C,-2.992
10/30/25, 2:02:01 AM,C,-2.992
10/30/25, 2:12:01 AM,C,-2.992
10/30/25, 2:22:01 AM,C,-3.494
10/30/25, 2:32:01 AM,C,-2.992
10/30/25, 2:42:01 AM,C,-2.992
10/30/25, 2:52:01 AM,C,-3.494
10/30/25, 3:02:01 AM,C,-3.494
10/30/25, 3:12:01 AM,C,-3.494
10/30/25, 3:22:01 AM,C,-3.494
10/30/25, 3:32:01 AM,C,-3.494
10/30/25, 3:42:01 AM,C,-3.494
10/30/25, 3:52:01 AM,C,-3.494
10/30/25, 4:02:01 AM,C,-3.494
10/30/25, 4:12:01 AM,C,-2.992
10/30/25, 4:22:01 AM,C,-2.992
10/30/25, 4:32:01 AM,C,-3.494
10/30/25, 4:42:01 AM,C,-3.494
10/30/25, 4:52:01 AM,C,-2.992
10/30/25, 5:02:01 AM,C,-3.494
10/30/25, 5:12:01 AM,C,-3.494
10/30/25, 5:22:01 AM,C,-3.494
10/30/25, 5:32:01 AM,C,-3.494
10/30/25, 5:42:01 AM,C,-3.996
10/30/25, 5:52:01 AM,C,-3.494
10/30/25, 6:02:01 AM,C,-3.996
10/30/25, 6:12:01 AM,C,-3.996
10/30/25, 6:22:01 AM,C,-3.996
10/30/25, 6:32:01 AM,C,-3.996
10/30/25, 6:42:01 AM,C,-3.996
10/30/25, 6:52:01 AM,C,-3.996
10/30/25, 7:02:01 AM,C,-3.996
10/30/25, 7:12:01 AM,C,-3.996
10/30/25, 7:22:01 AM,C,-3.996
10/30/25, 7:32:01 AM,C,-3.996
10/30/25, 7:42:01 AM,C,-3.996
10/30/25, 7:52:01 AM,C,-3.494
10/30/25, 8:02:01 AM,C,-3.494
10/30/25, 8:12:01 AM,C,-2.992
10/30/25, 8:22:01 AM,C,0.523
10/30/25, 8:32:01 AM,C,2.53
10/30/25, 8:42:01 AM,C,4.035
10/30/25, 8:52:01 AM,C,6.041
10/30/25, 9:02:01 AM,C,7.044
10/30/25, 9:12:01 AM,C,8.046
10/30/25, 9:22:01 AM,C,8.548
10/30/25, 9:32:01 AM,C,9.55
10/30/25, 9:42:01 AM,C,11.554
10/30/25, 9:52:01 AM,C,12.055
10/30/25, 10:02:01 AM,C,12.055
10/30/25, 10:12:01 AM,C,13.558
10/30/25, 10:22:01 AM,C,13.558
10/30/25, 10:32:01 AM,C,14.56
10/30/25, 10:42:01 AM,C,15.561
10/30/25, 10:52:01 AM,C,18.065
10/30/25, 11:02:01 AM,C,17.564
10/30/25, 11:12:01 AM,C,18.065
10/30/25, 11:22:01 AM,C,19.066
10/30/25, 11:32:01 AM,C,21.067
10/30/25, 11:42:01 AM,C,22.068
10/30/25, 11:52:01 AM,C,22.068
10/30/25, 12:02:01 PM,C,21.067
10/30/25, 12:12:01 PM,C,22.068
10/30/25, 12:22:01 PM,C,23.568
10/30/25, 12:32:01 PM,C,24.068
10/30/25, 12:42:01 PM,C,23.568
10/30/25, 12:52:01 PM,C,24.568
10/30/25, 1:02:01 PM,C,25.068
10/30/25, 1:12:01 PM,C,22.568
10/30/25, 1:22:01 PM,C,23.068
10/30/25, 1:32:01 PM,C,25.568
10/30/25, 1:42:01 PM,C,25.068
10/30/25, 1:52:01 PM,C,25.068
10/30/25, 2:02:01 PM,C,25.068
10/30/25, 2:12:01 PM,C,24.568
10/30/25, 2:22:01 PM,C,25.068
10/30/25, 2:32:01 PM,C,19.566
10/30/25, 2:42:01 PM,C,19.566
10/30/25, 2:52:01 PM,C,22.568
10/30/25, 3:02:01 PM,C,22.068
10/30/25, 3:12:01 PM,C,23.568
10/30/25, 3:22:01 PM,C,23.568
10/30/25, 3:32:01 PM,C,22.568
10/30/25, 3:42:01 PM,C,23.068
10/30/25, 3:52:01 PM,C,23.568
10/30/25, 4:02:01 PM,C,21.567
10/30/25, 4:12:01 PM,C,22.068
10/30/25, 4:22:01 PM,C,19.066
10/30/25, 4:32:01 PM,C,16.062
10/30/25, 4:42:01 PM,C,16.062
10/30/25, 4:52:01 PM,C,14.059
10/30/25, 5:02:01 PM,C,13.558
10/30/25, 5:12:01 PM,C,12.055
10/30/25, 5:22:01 PM,C,10.552
10/30/25, 5:32:01 PM,C,9.049
10/30/25, 5:42:01 PM,C,8.046
10/30/25, 5:52:01 PM,C,7.044
10/30/25, 6:02:01 PM,C,6.041
10/30/25, 6:12:01 PM,C,5.539
10/30/25, 6:22:01 PM,C,5.038
10/30/25, 6:32:01 PM,C,4.536
10/30/25, 6:42:01 PM,C,4.035
10/30/25, 6:52:01 PM,C,4.035
10/30/25, 7:02:01 PM,C,3.533
10/30/25, 7:12:01 PM,C,3.533
10/30/25, 7:22:01 PM,C,3.031
10/30/25, 7:32:01 PM,C,3.031
10/30/25, 7:42:01 PM,C,2.53
10/30/25, 7:52:01 PM,C,2.53
10/30/25, 8:02:01 PM,C,2.028
10/30/25, 8:12:01 PM,C,2.028
10/30/25, 8:22:01 PM,C,2.028
10/30/25, 8:32:01 PM,C,1.526
10/30/25, 8:42:01 PM,C,1.526
10/30/25, 8:52:01 PM,C,1.024
10/30/25, 9:02:01 PM,C,1.024
10/30/25, 9:12:01 PM,C,0.523
10/30/25, 9:22:01 PM,C,0.523
10/30/25, 9:32:01 PM,C,0.523
10/30/25, 9:42:01 PM,C,0.021
10/30/25, 9:52:01 PM,C,0.021
10/30/25, 10:02:01 PM,C,0.523
10/30/25, 10:12:01 PM,C,0.021
10/30/25, 10:22:01 PM,C,0.523
10/30/25, 10:32:01 PM,C,0.523
10/30/25, 10:42:01 PM,C,0.021
10/30/25, 10:52:01 PM,C,0.021
10/30/25, 11:02:01 PM,C,-0.481
10/30/25, 11:12:01 PM,C,-0.983
10/30/25, 11:22:01 PM,C,-0.983
10/30/25, 11:32:01 PM,C,-1.485
10/30/25, 11:42:01 PM,C,-1.987
10/30/25, 11:52:01 PM,C,-1.485
10/31/25, 12:02:01 AM,C,-1.987
10/31/25, 12:12:01 AM,C,-2.489
10/31/25, 12:22:01 AM,C,-2.489
10/31/25, 12:32:01 AM,C,-2.489
10/31/25, 12:42:01 AM,C,-2.992
10/31/25, 12:52:01 AM,C,-2.992
10/31/25, 1:02:01 AM,C,-2.992
10/31/25, 1:12:01 AM,C,-2.992
10/31/25, 1:22:01 AM,C,-3.494
10/31/25, 1:32:01 AM,C,-3.494
10/31/25, 1:42:01 AM,C,-3.494
10/31/25, 1:52:01 AM,C,-3.494
10/31/25, 2:02:01 AM,C,-3.494
10/31/25, 2:12:01 AM,C,-3.494
10/31/25, 2:22:01 AM,C,-3.996
10/31/25, 2:32:01 AM,C,-3.996
10/31/25, 2:42:01 AM,C,-3.996
10/31/25, 2:52:01 AM,C,-3.996
10/31/25, 3:02:01 AM,C,-3.996
10/31/25, 3:12:01 AM,C,-3.996
10/31/25, 3:22:01 AM,C,-3.996
10/31/25, 3:32:01 AM,C,-3.996
10/31/25, 3:42:01 AM,C,-4.498
10/31/25, 3:52:01 AM,C,-3.996
10/31/25, 4:02:01 AM,C,-4.498
10/31/25, 4:12:01 AM,C,-4.498
10/31/25, 4:22:01 AM,C,-4.498
10/31/25, 4:32:01 AM,C,-4.498
10/31/25, 4:42:01 AM,C,-4.498
10/31/25, 4:52:01 AM,C,-4.498
10/31/25, 5:02:01 AM,C,-4.498
10/31/25, 5:12:01 AM,C,-4.498
10/31/25, 5:22:01 AM,C,-4.498
10/31/25, 5:32:01 AM,C,-4.498
10/31/25, 5:42:01 AM,C,-4.498
10/31/25, 5:52:01 AM,C,-4.498
10/31/25, 6:02:01 AM,C,-4.498
10/31/25, 6:12:01 AM,C,-5
10/31/25, 6:22:01 AM,C,-5
10/31/25, 6:32:01 AM,C,-5
10/31/25, 6:42:01 AM,C,-5.503
10/31/25, 6:52:01 AM,C,-5
10/31/25, 7:02:01 AM,C,-5
10/31/25, 7:12:01 AM,C,-5
10/31/25, 7:22:01 AM,C,-5.503
10/31/25, 7:32:01 AM,C,-5
10/31/25, 7:42:01 AM,C,-5
10/31/25, 7:52:01 AM,C,-5
10/31/25, 8:02:01 AM,C,-5.503
10/31/25, 8:12:01 AM,C,-5
10/31/25, 8:22:01 AM,C,-1.485
10/31/25, 8:32:01 AM,C,0.523
10/31/25, 8:42:01 AM,C,2.028
10/31/25, 8:52:01 AM,C,3.031
10/31/25, 9:02:01 AM,C,5.038
10/31/25, 9:12:01 AM,C,5.539
10/31/25, 9:22:01 AM,C,7.545
10/31/25, 9:32:01 AM,C,8.046
10/31/25, 9:42:01 AM,C,9.55
10/31/25, 9:52:01 AM,C,11.053
10/31/25, 10:02:01 AM,C,12.055
10/31/25, 10:12:01 AM,C,12.556
10/31/25, 10:22:01 AM,C,13.558
10/31/25, 10:32:01 AM,C,15.061
10/31/25, 10:42:01 AM,C,17.564
10/31/25, 10:52:01 AM,C,18.565
10/31/25, 11:02:01 AM,C,18.565
10/31/25, 11:12:01 AM,C,18.065
10/31/25, 11:22:01 AM,C,20.066
10/31/25, 11:32:01 AM,C,20.066
10/31/25, 11:42:01 AM,C,21.067
10/31/25, 11:52:01 AM,C,21.567
10/31/25, 12:02:01 PM,C,22.068
10/31/25, 12:12:01 PM,C,23.568
10/31/25, 12:22:01 PM,C,23.568
10/31/25, 12:32:01 PM,C,23.068
10/31/25, 12:42:01 PM,C,24.068
10/31/25, 12:52:01 PM,C,24.068
10/31/25, 1:02:01 PM,C,25.068
10/31/25, 1:12:01 PM,C,25.068
10/31/25, 1:22:01 PM,C,24.568
10/31/25, 1:32:01 PM,C,25.068
10/31/25, 1:42:01 PM,C,26.568
10/31/25, 1:52:01 PM,C,26.568
10/31/25, 2:02:01 PM,C,26.068
10/31/25, 2:12:01 PM,C,24.568
10/31/25, 2:22:01 PM,C,25.068
10/31/25, 2:32:01 PM,C,26.568
10/31/25, 2:42:01 PM,C,26.068
10/31/25, 2:52:01 PM,C,26.568
10/31/25, 3:02:01 PM,C,26.568
10/31/25, 3:12:01 PM,C,25.068
10/31/25, 3:22:01 PM,C,25.568
10/31/25, 3:32:01 PM,C,26.068
10/31/25, 3:42:01 PM,C,23.568
10/31/25, 3:52:01 PM,C,27.068
10/31/25, 4:02:01 PM,C,22.568
10/31/25, 4:12:01 PM,C,22.568
10/31/25, 4:22:01 PM,C,20.066
10/31/25, 4:32:01 PM,C,18.065
10/31/25, 4:42:01 PM,C,17.063
10/31/25, 4:52:01 PM,C,17.063
10/31/25, 5:02:01 PM,C,17.063
10/31/25, 5:12:01 PM,C,16.563
10/31/25, 5:22:01 PM,C,16.563
10/31/25, 5:32:01 PM,C,16.062
10/31/25, 5:42:01 PM,C,16.062
10/31/25, 5:52:01 PM,C,16.062
10/31/25, 6:02:01 PM,C,16.062
10/31/25, 6:12:01 PM,C,15.561
10/31/25, 6:22:01 PM,C,15.561
10/31/25, 6:32:01 PM,C,15.561
10/31/25, 6:42:01 PM,C,15.561
10/31/25, 6:52:01 PM,C,15.561
10/31/25, 7:02:01 PM,C,15.561
10/31/25, 7:12:01 PM,C,15.561
10/31/25, 7:22:01 PM,C,15.061
10/31/25, 7:32:01 PM,C,15.061
10/31/25, 7:42:01 PM,C,15.061
10/31/25, 7:52:01 PM,C,15.061
10/31/25, 8:02:01 PM,C,15.061
10/31/25, 8:12:01 PM,C,15.061
10/31/25, 8:22:01 PM,C,14.56
10/31/25, 8:32:01 PM,C,15.061
10/31/25, 8:42:01 PM,C,15.061
10/31/25, 8:52:01 PM,C,15.061
10/31/25, 9:02:01 PM,C,15.061
10/31/25, 9:12:01 PM,C,15.061
10/31/25, 9:22:01 PM,C,15.061
10/31/25, 9:32:01 PM,C,15.061
10/31/25, 9:42:01 PM,C,15.561
10/31/25, 9:52:01 PM,C,15.561
10/31/25, 10:02:01 PM,C,15.561
10/31/25, 10:12:01 PM,C,16.062
10/31/25, 10:22:01 PM,C,16.062
10/31/25, 10:32:01 PM,C,16.563
10/31/25, 10:42:01 PM,C,17.063
10/31/25, 10:52:01 PM,C,17.063
10/31/25, 11:02:01 PM,C,17.063
10/31/25, 11:12:01 PM,C,17.564
10/31/25, 11:22:01 PM,C,17.564
10/31/25, 11:32:01 PM,C,18.065
10/31/25, 11:42:01 PM,C,18.065
10/31/25, 11:52:01 PM,C,18.065
11/1/25, 12:02:01 AM,C,18.065
11/1/25, 12:12:01 AM,C,18.565
11/1/25, 12:22:01 AM,C,18.565
11/1/25, 12:32:01 AM,C,18.565
11/1/25, 12:42:01 AM,C,18.565
11/1/25, 12:52:01 AM,C,18.565
11/1/25, 1:02:01 AM,C,18.565
11/1/25, 1:12:01 AM,C,18.565
11/1/25, 1:22:01 AM,C,18.565
11/1/25, 1:32:01 AM,C,18.565
11/1/25, 1:42:01 AM,C,18.565
11/1/25, 1:52:01 AM,C,18.565
11/1/25, 2:02:01 AM,C,18.565
11/1/25, 2:12:01 AM,C,18.565
11/1/25, 2:22:01 AM,C,18.565
11/1/25, 2:32:01 AM,C,18.065
11/1/25, 2:42:01 AM,C,18.065
11/1/25, 2:52:01 AM,C,18.065
11/1/25, 3:02:01 AM,C,18.065
11/1/25, 3:12:01 AM,C,18.065
11/1/25, 3:22:01 AM,C,17.564
11/1/25, 3:32:01 AM,C,17.564
11/1/25, 3:42:01 AM,C,17.564
11/1/25, 3:52:01 AM,C,17.564
11/1/25, 4:02:01 AM,C,17.564
11/1/25, 4:12:01 AM,C,17.063
11/1/25, 4:22:01 AM,C,17.063
11/1/25, 4:32:01 AM,C,17.063
11/1/25, 4:42:01 AM,C,17.063
11/1/25, 4:52:01 AM,C,16.563
11/1/25, 5:02:01 AM,C,16.563
11/1/25, 5:12:01 AM,C,16.563
11/1/25, 5:22:01 AM,C,16.563
11/1/25, 5:32:01 AM,C,16.062
11/1/25, 5:42:01 AM,C,16.062
11/1/25, 5:52:01 AM,C,16.062
11/1/25, 6:02:01 AM,C,16.062
11/1/25, 6:12:01 AM,C,15.561
11/1/25, 6:22:01 AM,C,15.561
11/1/25, 6:32:01 AM,C,15.561
11/1/25, 6:42:01 AM,C,15.561
11/1/25, 6:52:01 AM,C,15.061
11/1/25, 7:02:01 AM,C,15.061
11/1/25, 7:12:01 AM,C,15.061
11/1/25, 7:22:01 AM,C,15.061
11/1/25, 7:32:01 AM,C,15.061
11/1/25, 7:42:01 AM,C,14.56
11/1/25, 7:52:01 AM,C,14.56
11/1/25, 8:02:01 AM,C,14.56
11/1/25, 8:12:01 AM,C,14.059
11/1/25, 8:22:01 AM,C,14.059
11/1/25, 8:32:01 AM,C,14.059
11/1/25, 8:42:01 AM,C,13.558
11/1/25, 8:52:01 AM,C,13.558
11/1/25, 9:02:01 AM,C,13.558
11/1/25, 9:12:01 AM,C,13.057
11/1/25, 9:22:01 AM,C,13.057
11/1/25, 9:32:01 AM,C,13.057
11/1/25, 9:42:01 AM,C,12.556
11/1/25, 9:52:01 AM,C,12.556
11/1/25, 10:02:01 AM,C,12.055
11/1/25, 10:12:01 AM,C,12.055
11/1/25, 10:22:01 AM,C,12.055
11/1/25, 10:32:01 AM,C,12.055
11/1/25, 10:42:01 AM,C,12.556
11/1/25, 10:52:01 AM,C,13.057
11/1/25, 11:02:01 AM,C,13.558
11/1/25, 11:12:01 AM,C,14.059
11/1/25, 11:22:01 AM,C,14.56
11/1/25, 11:32:01 AM,C,14.56
11/1/25, 11:42:01 AM,C,14.56
11/1/25, 11:52:01 AM,C,14.56
11/1/25, 12:02:01 PM,C,14.56
11/1/25, 12:12:01 PM,C,15.061
11/1/25, 12:22:01 PM,C,18.065
11/1/25, 12:32:01 PM,C,20.066
11/1/25, 12:42:01 PM,C,21.067
11/1/25, 12:52:01 PM,C,21.567
11/1/25, 1:02:01 PM,C,21.567
11/1/25, 1:12:01 PM,C,22.068
11/1/25, 1:22:01 PM,C,22.568
11/1/25, 1:32:01 PM,C,23.068
11/1/25, 1:42:01 PM,C,23.568
11/1/25, 1:52:01 PM,C,24.068
11/1/25, 2:02:01 PM,C,24.068
11/1/25, 2:12:01 PM,C,24.068
11/1/25, 2:22:01 PM,C,24.068
11/1/25, 2:32:01 PM,C,23.568
11/1/25, 2:42:01 PM,C,23.068
11/1/25, 2:52:01 PM,C,22.068
11/1/25, 3:02:01 PM,C,21.067
11/1/25, 3:12:01 PM,C,20.567
11/1/25, 3:22:01 PM,C,20.567
11/1/25, 3:32:01 PM,C,20.066
11/1/25, 3:42:01 PM,C,20.066
11/1/25, 3:52:01 PM,C,20.066
11/1/25, 4:02:01 PM,C,19.566
11/1/25, 4:12:01 PM,C,19.566
11/1/25, 4:22:01 PM,C,19.566
11/1/25, 4:32:01 PM,C,19.566
11/1/25, 4:42:01 PM,C,19.566
11/1/25, 4:52:01 PM,C,19.566
11/1/25, 5:02:01 PM,C,19.566
11/1/25, 5:12:01 PM,C,19.566
11/1/25, 5:22:01 PM,C,19.566
11/1/25, 5:32:01 PM,C,19.566
11/1/25, 5:42:01 PM,C,19.566
11/1/25, 5:52:01 PM,C,19.566
11/1/25, 6:02:01 PM,C,20.066
11/1/25, 6:12:01 PM,C,20.066
11/1/25, 6:22:01 PM,C,20.066
11/1/25, 6:32:01 PM,C,20.066
11/1/25, 6:42:01 PM,C,20.066
11/1/25, 6:52:01 PM,C,20.567
11/1/25, 7:02:01 PM,C,20.567
11/1/25, 7:12:01 PM,C,20.567
