1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000081734541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:42:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 02:32:01 PDT 2025
Total Mission Samples:  5469
Total Device Samples:  12479
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 2:32:01 AM,C,2.037
6/29/25, 2:42:01 AM,C,2.037
6/29/25, 2:52:01 AM,C,2.537
6/29/25, 3:02:01 AM,C,2.037
6/29/25, 3:12:01 AM,C,2.037
6/29/25, 3:22:01 AM,C,2.037
6/29/25, 3:32:01 AM,C,1.536
6/29/25, 3:42:01 AM,C,2.037
6/29/25, 3:52:01 AM,C,1.536
6/29/25, 4:02:01 AM,C,2.037
6/29/25, 4:12:01 AM,C,1.536
6/29/25, 4:22:01 AM,C,1.536
6/29/25, 4:32:01 AM,C,1.536
6/29/25, 4:42:01 AM,C,2.037
6/29/25, 4:52:01 AM,C,1.536
6/29/25, 5:02:01 AM,C,1.536
6/29/25, 5:12:01 AM,C,1.536
6/29/25, 5:22:01 AM,C,1.536
6/29/25, 5:32:01 AM,C,1.536
6/29/25, 5:42:01 AM,C,1.536
6/29/25, 5:52:01 AM,C,1.536
6/29/25, 6:02:01 AM,C,1.536
6/29/25, 6:12:01 AM,C,2.037
6/29/25, 6:22:01 AM,C,2.537
6/29/25, 6:32:01 AM,C,2.537
6/29/25, 6:42:01 AM,C,3.038
6/29/25, 6:52:01 AM,C,3.539
6/29/25, 7:02:01 AM,C,4.54
6/29/25, 7:12:01 AM,C,5.041
6/29/25, 7:22:01 AM,C,6.042
6/29/25, 7:32:01 AM,C,7.544
6/29/25, 7:42:01 AM,C,10.047
6/29/25, 7:52:01 AM,C,15.552
6/29/25, 8:02:01 AM,C,18.053
6/29/25, 8:12:01 AM,C,17.053
6/29/25, 8:22:01 AM,C,16.052
6/29/25, 8:32:01 AM,C,16.552
6/29/25, 8:42:01 AM,C,16.552
6/29/25, 8:52:01 AM,C,16.052
6/29/25, 9:02:01 AM,C,16.552
6/29/25, 9:12:01 AM,C,18.053
6/29/25, 9:22:01 AM,C,22.054
6/29/25, 9:32:01 AM,C,26.555
6/29/25, 9:42:01 AM,C,27.554
6/29/25, 9:52:01 AM,C,28.554
6/29/25, 10:02:01 AM,C,29.054
6/29/25, 10:12:01 AM,C,29.554
6/29/25, 10:22:01 AM,C,29.554
6/29/25, 10:32:01 AM,C,29.554
6/29/25, 10:42:01 AM,C,30.554
6/29/25, 10:52:01 AM,C,29.554
6/29/25, 11:02:01 AM,C,30.554
6/29/25, 11:12:01 AM,C,30.054
6/29/25, 11:22:01 AM,C,30.054
6/29/25, 11:32:01 AM,C,31.053
6/29/25, 11:42:01 AM,C,31.553
6/29/25, 11:52:01 AM,C,31.053
6/29/25, 12:02:01 PM,C,31.553
6/29/25, 12:12:01 PM,C,32.053
6/29/25, 12:22:01 PM,C,32.553
6/29/25, 12:32:01 PM,C,32.053
6/29/25, 12:42:01 PM,C,32.553
6/29/25, 12:52:01 PM,C,33.052
6/29/25, 1:02:01 PM,C,32.553
6/29/25, 1:12:01 PM,C,33.052
6/29/25, 1:22:01 PM,C,31.553
6/29/25, 1:32:01 PM,C,33.052
6/29/25, 1:42:01 PM,C,33.552
6/29/25, 1:52:01 PM,C,27.554
6/29/25, 2:02:01 PM,C,32.553
6/29/25, 2:12:01 PM,C,26.555
6/29/25, 2:22:01 PM,C,31.553
6/29/25, 2:32:01 PM,C,33.552
6/29/25, 2:42:01 PM,C,34.551
6/29/25, 2:52:01 PM,C,35.051
6/29/25, 3:02:01 PM,C,31.553
6/29/25, 3:12:01 PM,C,30.554
6/29/25, 3:22:01 PM,C,29.554
6/29/25, 3:32:01 PM,C,26.555
6/29/25, 3:42:01 PM,C,31.553
6/29/25, 3:52:01 PM,C,26.055
6/29/25, 4:02:01 PM,C,26.055
6/29/25, 4:12:01 PM,C,32.053
6/29/25, 4:22:01 PM,C,31.053
6/29/25, 4:32:01 PM,C,28.054
6/29/25, 4:42:01 PM,C,24.555
6/29/25, 4:52:01 PM,C,26.555
6/29/25, 5:02:01 PM,C,30.054
6/29/25, 5:12:01 PM,C,28.054
6/29/25, 5:22:01 PM,C,27.055
6/29/25, 5:32:01 PM,C,30.554
6/29/25, 5:42:01 PM,C,30.054
6/29/25, 5:52:01 PM,C,30.054
6/29/25, 6:02:01 PM,C,30.054
6/29/25, 6:12:01 PM,C,29.554
6/29/25, 6:22:01 PM,C,30.054
6/29/25, 6:32:01 PM,C,29.554
6/29/25, 6:42:01 PM,C,28.554
6/29/25, 6:52:01 PM,C,28.554
6/29/25, 7:02:01 PM,C,27.554
6/29/25, 7:12:01 PM,C,28.054
6/29/25, 7:22:01 PM,C,25.555
6/29/25, 7:32:01 PM,C,24.555
6/29/25, 7:42:01 PM,C,20.554
6/29/25, 7:52:01 PM,C,19.554
6/29/25, 8:02:01 PM,C,17.053
6/29/25, 8:12:01 PM,C,15.552
6/29/25, 8:22:01 PM,C,14.551
6/29/25, 8:32:01 PM,C,14.051
6/29/25, 8:42:01 PM,C,13.05
6/29/25, 8:52:01 PM,C,12.549
6/29/25, 9:02:01 PM,C,11.549
6/29/25, 9:12:01 PM,C,11.048
6/29/25, 9:22:01 PM,C,10.548
6/29/25, 9:32:01 PM,C,9.547
6/29/25, 9:42:01 PM,C,10.047
6/29/25, 9:52:01 PM,C,9.547
6/29/25, 10:02:01 PM,C,9.046
6/29/25, 10:12:01 PM,C,8.546
6/29/25, 10:22:01 PM,C,8.045
6/29/25, 10:32:01 PM,C,8.045
6/29/25, 10:42:01 PM,C,8.045
6/29/25, 10:52:01 PM,C,7.544
6/29/25, 11:02:01 PM,C,7.044
6/29/25, 11:12:01 PM,C,7.044
6/29/25, 11:22:01 PM,C,7.044
6/29/25, 11:32:01 PM,C,7.044
6/29/25, 11:42:01 PM,C,6.543
6/29/25, 11:52:01 PM,C,6.543
6/30/25, 12:02:01 AM,C,6.543
6/30/25, 12:12:01 AM,C,6.543
6/30/25, 12:22:01 AM,C,6.543
6/30/25, 12:32:01 AM,C,6.042
6/30/25, 12:42:01 AM,C,6.042
6/30/25, 12:52:01 AM,C,5.542
6/30/25, 1:02:01 AM,C,5.542
6/30/25, 1:12:01 AM,C,5.542
6/30/25, 1:22:01 AM,C,5.041
6/30/25, 1:32:01 AM,C,5.041
6/30/25, 1:42:01 AM,C,5.041
6/30/25, 1:52:01 AM,C,5.041
6/30/25, 2:02:01 AM,C,5.542
6/30/25, 2:12:01 AM,C,5.041
6/30/25, 2:22:01 AM,C,5.041
6/30/25, 2:32:01 AM,C,4.54
6/30/25, 2:42:01 AM,C,5.041
6/30/25, 2:52:01 AM,C,4.54
6/30/25, 3:02:01 AM,C,4.54
6/30/25, 3:12:01 AM,C,4.54
6/30/25, 3:22:01 AM,C,4.54
6/30/25, 3:32:01 AM,C,4.54
6/30/25, 3:42:01 AM,C,4.54
6/30/25, 3:52:01 AM,C,5.041
6/30/25, 4:02:01 AM,C,4.54
6/30/25, 4:12:01 AM,C,4.04
6/30/25, 4:22:01 AM,C,3.539
6/30/25, 4:32:01 AM,C,4.04
6/30/25, 4:42:01 AM,C,3.539
6/30/25, 4:52:01 AM,C,3.539
6/30/25, 5:02:01 AM,C,3.539
6/30/25, 5:12:01 AM,C,3.539
6/30/25, 5:22:01 AM,C,3.038
6/30/25, 5:32:01 AM,C,3.038
6/30/25, 5:42:01 AM,C,2.537
6/30/25, 5:52:01 AM,C,3.038
6/30/25, 6:02:01 AM,C,3.038
6/30/25, 6:12:01 AM,C,3.539
6/30/25, 6:22:01 AM,C,4.04
6/30/25, 6:32:01 AM,C,4.04
6/30/25, 6:42:01 AM,C,4.54
6/30/25, 6:52:01 AM,C,5.041
6/30/25, 7:02:01 AM,C,5.542
6/30/25, 7:12:01 AM,C,6.543
6/30/25, 7:22:01 AM,C,7.544
6/30/25, 7:32:01 AM,C,9.046
6/30/25, 7:42:01 AM,C,10.548
6/30/25, 7:52:01 AM,C,14.551
6/30/25, 8:02:01 AM,C,18.553
6/30/25, 8:12:01 AM,C,18.053
6/30/25, 8:22:01 AM,C,16.552
6/30/25, 8:32:01 AM,C,17.053
6/30/25, 8:42:01 AM,C,16.552
6/30/25, 8:52:01 AM,C,16.552
6/30/25, 9:02:01 AM,C,17.053
6/30/25, 9:12:01 AM,C,18.553
6/30/25, 9:22:01 AM,C,22.054
6/30/25, 9:32:01 AM,C,26.055
6/30/25, 9:42:01 AM,C,28.054
6/30/25, 9:52:01 AM,C,29.554
6/30/25, 10:02:01 AM,C,30.054
6/30/25, 10:12:01 AM,C,29.554
6/30/25, 10:22:01 AM,C,30.554
6/30/25, 10:32:01 AM,C,30.054
6/30/25, 10:42:01 AM,C,30.554
6/30/25, 10:52:01 AM,C,30.054
6/30/25, 11:02:01 AM,C,29.054
6/30/25, 11:12:01 AM,C,32.053
6/30/25, 11:22:01 AM,C,30.554
6/30/25, 11:32:01 AM,C,30.054
6/30/25, 11:42:01 AM,C,31.053
6/30/25, 11:52:01 AM,C,31.053
6/30/25, 12:02:01 PM,C,32.553
6/30/25, 12:12:01 PM,C,31.553
6/30/25, 12:22:01 PM,C,31.053
6/30/25, 12:32:01 PM,C,31.553
6/30/25, 12:42:01 PM,C,32.053
6/30/25, 12:52:01 PM,C,32.553
6/30/25, 1:02:01 PM,C,32.553
6/30/25, 1:12:01 PM,C,32.553
6/30/25, 1:22:01 PM,C,33.052
6/30/25, 1:32:01 PM,C,32.553
6/30/25, 1:42:01 PM,C,31.553
6/30/25, 1:52:01 PM,C,32.553
6/30/25, 2:02:01 PM,C,31.553
6/30/25, 2:12:01 PM,C,30.554
6/30/25, 2:22:01 PM,C,31.053
6/30/25, 2:32:01 PM,C,31.553
6/30/25, 2:42:01 PM,C,32.053
6/30/25, 2:52:01 PM,C,31.553
6/30/25, 3:02:01 PM,C,30.554
6/30/25, 3:12:01 PM,C,31.053
6/30/25, 3:22:01 PM,C,30.554
6/30/25, 3:32:01 PM,C,30.554
6/30/25, 3:42:01 PM,C,30.054
6/30/25, 3:52:01 PM,C,30.054
6/30/25, 4:02:01 PM,C,29.554
6/30/25, 4:12:01 PM,C,29.054
6/30/25, 4:22:01 PM,C,28.554
6/30/25, 4:32:01 PM,C,28.554
6/30/25, 4:42:01 PM,C,29.054
6/30/25, 4:52:01 PM,C,29.054
6/30/25, 5:02:01 PM,C,29.054
6/30/25, 5:12:01 PM,C,28.554
6/30/25, 5:22:01 PM,C,28.054
6/30/25, 5:32:01 PM,C,27.554
6/30/25, 5:42:01 PM,C,27.055
6/30/25, 5:52:01 PM,C,27.055
6/30/25, 6:02:01 PM,C,27.055
6/30/25, 6:12:01 PM,C,27.055
6/30/25, 6:22:01 PM,C,27.055
6/30/25, 6:32:01 PM,C,26.055
6/30/25, 6:42:01 PM,C,26.055
6/30/25, 6:52:01 PM,C,25.555
6/30/25, 7:02:01 PM,C,25.055
6/30/25, 7:12:01 PM,C,24.555
6/30/25, 7:22:01 PM,C,23.055
6/30/25, 7:32:01 PM,C,22.054
6/30/25, 7:42:01 PM,C,20.554
6/30/25, 7:52:01 PM,C,18.553
6/30/25, 8:02:01 PM,C,16.552
6/30/25, 8:12:01 PM,C,15.552
6/30/25, 8:22:01 PM,C,13.55
6/30/25, 8:32:01 PM,C,12.549
6/30/25, 8:42:01 PM,C,11.549
6/30/25, 8:52:01 PM,C,10.548
6/30/25, 9:02:01 PM,C,10.548
6/30/25, 9:12:01 PM,C,10.548
6/30/25, 9:22:01 PM,C,9.547
6/30/25, 9:32:01 PM,C,9.046
6/30/25, 9:42:01 PM,C,8.045
6/30/25, 9:52:01 PM,C,7.544
6/30/25, 10:02:01 PM,C,7.544
6/30/25, 10:12:01 PM,C,7.044
6/30/25, 10:22:01 PM,C,7.044
6/30/25, 10:32:01 PM,C,6.042
6/30/25, 10:42:01 PM,C,6.042
6/30/25, 10:52:01 PM,C,6.042
6/30/25, 11:02:01 PM,C,5.542
6/30/25, 11:12:01 PM,C,5.542
6/30/25, 11:22:01 PM,C,5.041
6/30/25, 11:32:01 PM,C,5.041
6/30/25, 11:42:01 PM,C,4.54
6/30/25, 11:52:01 PM,C,4.04
7/1/25, 12:02:01 AM,C,4.04
7/1/25, 12:12:01 AM,C,4.04
7/1/25, 12:22:01 AM,C,3.539
7/1/25, 12:32:01 AM,C,3.539
7/1/25, 12:42:01 AM,C,3.038
7/1/25, 12:52:01 AM,C,3.038
7/1/25, 1:02:01 AM,C,3.038
7/1/25, 1:12:01 AM,C,3.038
7/1/25, 1:22:01 AM,C,3.038
7/1/25, 1:32:01 AM,C,2.537
7/1/25, 1:42:01 AM,C,2.537
7/1/25, 1:52:01 AM,C,2.537
7/1/25, 2:02:01 AM,C,2.537
7/1/25, 2:12:01 AM,C,2.037
7/1/25, 2:22:01 AM,C,2.537
7/1/25, 2:32:01 AM,C,2.537
7/1/25, 2:42:01 AM,C,2.537
7/1/25, 2:52:01 AM,C,2.537
7/1/25, 3:02:01 AM,C,2.037
7/1/25, 3:12:01 AM,C,2.037
7/1/25, 3:22:01 AM,C,2.037
7/1/25, 3:32:01 AM,C,1.536
7/1/25, 3:42:01 AM,C,1.536
7/1/25, 3:52:01 AM,C,1.536
7/1/25, 4:02:01 AM,C,1.536
7/1/25, 4:12:01 AM,C,1.536
7/1/25, 4:22:01 AM,C,1.536
7/1/25, 4:32:01 AM,C,1.536
7/1/25, 4:42:01 AM,C,1.536
7/1/25, 4:52:01 AM,C,1.536
7/1/25, 5:02:01 AM,C,1.536
7/1/25, 5:12:01 AM,C,1.536
7/1/25, 5:22:01 AM,C,1.536
7/1/25, 5:32:01 AM,C,1.536
7/1/25, 5:42:01 AM,C,1.536
7/1/25, 5:52:01 AM,C,1.536
7/1/25, 6:02:01 AM,C,2.037
7/1/25, 6:12:01 AM,C,2.037
7/1/25, 6:22:01 AM,C,2.537
7/1/25, 6:32:01 AM,C,2.537
7/1/25, 6:42:01 AM,C,3.038
7/1/25, 6:52:01 AM,C,3.539
7/1/25, 7:02:01 AM,C,4.54
7/1/25, 7:12:01 AM,C,5.041
7/1/25, 7:22:01 AM,C,6.042
7/1/25, 7:32:01 AM,C,7.544
7/1/25, 7:42:01 AM,C,9.547
7/1/25, 7:52:01 AM,C,15.051
7/1/25, 8:02:01 AM,C,17.553
7/1/25, 8:12:01 AM,C,16.552
7/1/25, 8:22:01 AM,C,15.552
7/1/25, 8:32:01 AM,C,16.052
7/1/25, 8:42:01 AM,C,16.052
7/1/25, 8:52:01 AM,C,16.552
7/1/25, 9:02:01 AM,C,17.053
7/1/25, 9:12:01 AM,C,18.553
7/1/25, 9:22:01 AM,C,22.054
7/1/25, 9:32:01 AM,C,26.555
7/1/25, 9:42:01 AM,C,27.055
7/1/25, 9:52:01 AM,C,27.554
7/1/25, 10:02:01 AM,C,27.055
7/1/25, 10:12:01 AM,C,27.554
7/1/25, 10:22:01 AM,C,28.054
7/1/25, 10:32:01 AM,C,28.554
7/1/25, 10:42:01 AM,C,29.554
7/1/25, 10:52:01 AM,C,28.554
7/1/25, 11:02:01 AM,C,28.554
7/1/25, 11:12:01 AM,C,29.054
7/1/25, 11:22:01 AM,C,28.554
7/1/25, 11:32:01 AM,C,29.554
7/1/25, 11:42:01 AM,C,30.054
7/1/25, 11:52:01 AM,C,29.554
7/1/25, 12:02:01 PM,C,30.054
7/1/25, 12:12:01 PM,C,30.054
7/1/25, 12:22:01 PM,C,30.054
7/1/25, 12:32:01 PM,C,31.053
7/1/25, 12:42:01 PM,C,30.554
7/1/25, 12:52:01 PM,C,30.554
7/1/25, 1:02:01 PM,C,29.554
7/1/25, 1:12:01 PM,C,29.554
7/1/25, 1:22:01 PM,C,30.554
7/1/25, 1:32:01 PM,C,30.054
7/1/25, 1:42:01 PM,C,30.554
7/1/25, 1:52:01 PM,C,30.054
7/1/25, 2:02:01 PM,C,29.554
7/1/25, 2:12:01 PM,C,30.554
7/1/25, 2:22:01 PM,C,29.054
7/1/25, 2:32:01 PM,C,29.554
7/1/25, 2:42:01 PM,C,29.554
7/1/25, 2:52:01 PM,C,30.554
7/1/25, 3:02:01 PM,C,30.054
7/1/25, 3:12:01 PM,C,28.554
7/1/25, 3:22:01 PM,C,25.555
7/1/25, 3:32:01 PM,C,25.555
7/1/25, 3:42:01 PM,C,25.555
7/1/25, 3:52:01 PM,C,24.555
7/1/25, 4:02:01 PM,C,23.555
7/1/25, 4:12:01 PM,C,23.055
7/1/25, 4:22:01 PM,C,23.055
7/1/25, 4:32:01 PM,C,22.054
7/1/25, 4:42:01 PM,C,20.554
7/1/25, 4:52:01 PM,C,20.054
7/1/25, 5:02:01 PM,C,19.554
7/1/25, 5:12:01 PM,C,21.554
7/1/25, 5:22:01 PM,C,22.054
7/1/25, 5:32:01 PM,C,23.055
7/1/25, 5:42:01 PM,C,23.555
7/1/25, 5:52:01 PM,C,23.055
7/1/25, 6:02:01 PM,C,22.054
7/1/25, 6:12:01 PM,C,21.054
7/1/25, 6:22:01 PM,C,20.554
7/1/25, 6:32:01 PM,C,20.054
7/1/25, 6:42:01 PM,C,19.554
7/1/25, 6:52:01 PM,C,19.054
7/1/25, 7:02:01 PM,C,19.054
7/1/25, 7:12:01 PM,C,19.554
7/1/25, 7:22:01 PM,C,19.554
7/1/25, 7:32:01 PM,C,19.054
7/1/25, 7:42:01 PM,C,18.053
7/1/25, 7:52:01 PM,C,15.552
7/1/25, 8:02:01 PM,C,14.551
7/1/25, 8:12:01 PM,C,15.051
7/1/25, 8:22:01 PM,C,14.051
7/1/25, 8:32:01 PM,C,13.05
7/1/25, 8:42:01 PM,C,11.549
7/1/25, 8:52:01 PM,C,12.049
7/1/25, 9:02:01 PM,C,9.547
7/1/25, 9:12:01 PM,C,9.046
7/1/25, 9:22:01 PM,C,8.546
7/1/25, 9:32:01 PM,C,8.546
7/1/25, 9:42:01 PM,C,8.045
7/1/25, 9:52:01 PM,C,7.044
7/1/25, 10:02:01 PM,C,7.044
7/1/25, 10:12:01 PM,C,6.543
7/1/25, 10:22:01 PM,C,6.042
7/1/25, 10:32:01 PM,C,6.042
7/1/25, 10:42:01 PM,C,5.542
7/1/25, 10:52:01 PM,C,5.542
7/1/25, 11:02:01 PM,C,5.041
7/1/25, 11:12:01 PM,C,5.041
7/1/25, 11:22:01 PM,C,4.54
7/1/25, 11:32:01 PM,C,4.54
7/1/25, 11:42:01 PM,C,4.54
7/1/25, 11:52:01 PM,C,4.04
7/2/25, 12:02:01 AM,C,4.04
7/2/25, 12:12:01 AM,C,3.539
7/2/25, 12:22:01 AM,C,3.539
7/2/25, 12:32:01 AM,C,3.539
7/2/25, 12:42:01 AM,C,3.038
7/2/25, 12:52:01 AM,C,3.539
7/2/25, 1:02:01 AM,C,3.038
7/2/25, 1:12:01 AM,C,3.038
7/2/25, 1:22:01 AM,C,3.539
7/2/25, 1:32:01 AM,C,3.038
7/2/25, 1:42:01 AM,C,3.038
7/2/25, 1:52:01 AM,C,3.038
7/2/25, 2:02:01 AM,C,3.038
7/2/25, 2:12:01 AM,C,3.038
7/2/25, 2:22:01 AM,C,2.537
7/2/25, 2:32:01 AM,C,2.537
7/2/25, 2:42:01 AM,C,2.537
7/2/25, 2:52:01 AM,C,2.537
7/2/25, 3:02:01 AM,C,2.537
7/2/25, 3:12:01 AM,C,2.537
7/2/25, 3:22:01 AM,C,2.537
7/2/25, 3:32:01 AM,C,2.037
7/2/25, 3:42:01 AM,C,2.537
7/2/25, 3:52:01 AM,C,2.037
7/2/25, 4:02:01 AM,C,2.037
7/2/25, 4:12:01 AM,C,2.037
7/2/25, 4:22:01 AM,C,2.037
7/2/25, 4:32:01 AM,C,1.536
7/2/25, 4:42:01 AM,C,1.536
7/2/25, 4:52:01 AM,C,1.536
7/2/25, 5:02:01 AM,C,1.536
7/2/25, 5:12:01 AM,C,1.536
7/2/25, 5:22:01 AM,C,1.536
7/2/25, 5:32:01 AM,C,1.536
7/2/25, 5:42:01 AM,C,1.536
7/2/25, 5:52:01 AM,C,1.536
7/2/25, 6:02:01 AM,C,1.536
7/2/25, 6:12:01 AM,C,2.037
7/2/25, 6:22:01 AM,C,2.037
7/2/25, 6:32:01 AM,C,2.537
7/2/25, 6:42:01 AM,C,3.038
7/2/25, 6:52:01 AM,C,4.04
7/2/25, 7:02:01 AM,C,4.54
7/2/25, 7:12:01 AM,C,4.54
7/2/25, 7:22:01 AM,C,5.542
7/2/25, 7:32:01 AM,C,7.044
7/2/25, 7:42:01 AM,C,9.046
7/2/25, 7:52:01 AM,C,13.55
7/2/25, 8:02:01 AM,C,17.053
7/2/25, 8:12:01 AM,C,16.552
7/2/25, 8:22:01 AM,C,15.051
7/2/25, 8:32:01 AM,C,15.552
7/2/25, 8:42:01 AM,C,15.051
7/2/25, 8:52:01 AM,C,15.051
7/2/25, 9:02:01 AM,C,16.052
7/2/25, 9:12:01 AM,C,17.053
7/2/25, 9:22:01 AM,C,21.054
7/2/25, 9:32:01 AM,C,25.055
7/2/25, 9:42:01 AM,C,27.554
7/2/25, 9:52:01 AM,C,28.054
7/2/25, 10:02:01 AM,C,28.554
7/2/25, 10:12:01 AM,C,29.554
7/2/25, 10:22:01 AM,C,29.554
7/2/25, 10:32:01 AM,C,29.054
7/2/25, 10:42:01 AM,C,29.554
7/2/25, 10:52:01 AM,C,30.054
7/2/25, 11:02:01 AM,C,30.554
7/2/25, 11:12:01 AM,C,30.554
7/2/25, 11:22:01 AM,C,31.053
7/2/25, 11:32:01 AM,C,30.554
7/2/25, 11:42:01 AM,C,31.053
7/2/25, 11:52:01 AM,C,30.054
7/2/25, 12:02:01 PM,C,31.053
7/2/25, 12:12:01 PM,C,32.553
7/2/25, 12:22:01 PM,C,31.553
7/2/25, 12:32:01 PM,C,30.554
7/2/25, 12:42:01 PM,C,30.554
7/2/25, 12:52:01 PM,C,31.053
7/2/25, 1:02:01 PM,C,33.052
7/2/25, 1:12:01 PM,C,32.053
7/2/25, 1:22:01 PM,C,32.553
7/2/25, 1:32:01 PM,C,24.555
7/2/25, 1:42:01 PM,C,28.554
7/2/25, 1:52:01 PM,C,28.054
7/2/25, 2:02:01 PM,C,31.053
7/2/25, 2:12:01 PM,C,32.053
7/2/25, 2:22:01 PM,C,30.554
7/2/25, 2:32:01 PM,C,31.553
7/2/25, 2:42:01 PM,C,29.554
7/2/25, 2:52:01 PM,C,26.055
7/2/25, 3:02:01 PM,C,30.054
7/2/25, 3:12:01 PM,C,26.055
7/2/25, 3:22:01 PM,C,27.055
7/2/25, 3:32:01 PM,C,31.053
7/2/25, 3:42:01 PM,C,31.053
7/2/25, 3:52:01 PM,C,29.054
7/2/25, 4:02:01 PM,C,29.554
7/2/25, 4:12:01 PM,C,31.053
7/2/25, 4:22:01 PM,C,29.554
7/2/25, 4:32:01 PM,C,29.054
7/2/25, 4:42:01 PM,C,29.554
7/2/25, 4:52:01 PM,C,29.554
7/2/25, 5:02:01 PM,C,29.554
7/2/25, 5:12:01 PM,C,29.054
7/2/25, 5:22:01 PM,C,29.054
7/2/25, 5:32:01 PM,C,28.554
7/2/25, 5:42:01 PM,C,29.554
7/2/25, 5:52:01 PM,C,28.554
7/2/25, 6:02:01 PM,C,27.554
7/2/25, 6:12:01 PM,C,29.054
7/2/25, 6:22:01 PM,C,27.554
7/2/25, 6:32:01 PM,C,27.554
7/2/25, 6:42:01 PM,C,27.554
7/2/25, 6:52:01 PM,C,26.055
7/2/25, 7:02:01 PM,C,26.055
7/2/25, 7:12:01 PM,C,25.055
7/2/25, 7:22:01 PM,C,24.055
7/2/25, 7:32:01 PM,C,21.554
7/2/25, 7:42:01 PM,C,19.054
7/2/25, 7:52:01 PM,C,18.053
7/2/25, 8:02:01 PM,C,17.053
7/2/25, 8:12:01 PM,C,16.052
7/2/25, 8:22:01 PM,C,13.05
7/2/25, 8:32:01 PM,C,11.549
7/2/25, 8:42:01 PM,C,10.548
7/2/25, 8:52:01 PM,C,9.046
7/2/25, 9:02:01 PM,C,8.045
7/2/25, 9:12:01 PM,C,7.544
7/2/25, 9:22:01 PM,C,7.544
7/2/25, 9:32:01 PM,C,7.044
7/2/25, 9:42:01 PM,C,7.044
7/2/25, 9:52:01 PM,C,7.044
7/2/25, 10:02:01 PM,C,6.042
7/2/25, 10:12:01 PM,C,5.542
7/2/25, 10:22:01 PM,C,5.542
7/2/25, 10:32:01 PM,C,5.041
7/2/25, 10:42:01 PM,C,5.041
7/2/25, 10:52:01 PM,C,5.041
7/2/25, 11:02:01 PM,C,4.54
7/2/25, 11:12:01 PM,C,4.54
7/2/25, 11:22:01 PM,C,4.54
7/2/25, 11:32:01 PM,C,4.04
7/2/25, 11:42:01 PM,C,4.04
7/2/25, 11:52:01 PM,C,3.539
7/3/25, 12:02:01 AM,C,3.038
7/3/25, 12:12:01 AM,C,2.537
7/3/25, 12:22:01 AM,C,2.537
7/3/25, 12:32:01 AM,C,2.037
7/3/25, 12:42:01 AM,C,2.037
7/3/25, 12:52:01 AM,C,1.536
7/3/25, 1:02:01 AM,C,1.536
7/3/25, 1:12:01 AM,C,1.536
7/3/25, 1:22:01 AM,C,1.536
7/3/25, 1:32:01 AM,C,1.035
7/3/25, 1:42:01 AM,C,1.035
7/3/25, 1:52:01 AM,C,1.035
7/3/25, 2:02:01 AM,C,0.534
7/3/25, 2:12:01 AM,C,0.033
7/3/25, 2:22:01 AM,C,0.534
7/3/25, 2:32:01 AM,C,0.534
7/3/25, 2:42:01 AM,C,0.534
7/3/25, 2:52:01 AM,C,0.534
7/3/25, 3:02:01 AM,C,0.033
7/3/25, 3:12:01 AM,C,0.534
7/3/25, 3:22:01 AM,C,0.033
7/3/25, 3:32:01 AM,C,0.033
7/3/25, 3:42:01 AM,C,0.033
7/3/25, 3:52:01 AM,C,0.033
7/3/25, 4:02:01 AM,C,0.033
7/3/25, 4:12:01 AM,C,0.033
7/3/25, 4:22:01 AM,C,0.033
7/3/25, 4:32:01 AM,C,0.033
7/3/25, 4:42:01 AM,C,-0.467
7/3/25, 4:52:01 AM,C,0.033
7/3/25, 5:02:01 AM,C,0.033
7/3/25, 5:12:01 AM,C,-0.467
7/3/25, 5:22:01 AM,C,-0.968
7/3/25, 5:32:01 AM,C,-0.467
7/3/25, 5:42:01 AM,C,-0.467
7/3/25, 5:52:01 AM,C,-0.467
7/3/25, 6:02:01 AM,C,0.534
7/3/25, 6:12:01 AM,C,0.534
7/3/25, 6:22:01 AM,C,1.035
7/3/25, 6:32:01 AM,C,2.037
7/3/25, 6:42:01 AM,C,2.537
7/3/25, 6:52:01 AM,C,3.539
7/3/25, 7:02:01 AM,C,4.54
7/3/25, 7:12:01 AM,C,5.542
7/3/25, 7:22:01 AM,C,6.543
7/3/25, 7:32:01 AM,C,7.044
7/3/25, 7:42:01 AM,C,8.045
7/3/25, 7:52:01 AM,C,13.05
7/3/25, 8:02:01 AM,C,16.052
7/3/25, 8:12:01 AM,C,16.052
7/3/25, 8:22:01 AM,C,14.051
7/3/25, 8:32:01 AM,C,14.551
7/3/25, 8:42:01 AM,C,14.551
7/3/25, 8:52:01 AM,C,15.051
7/3/25, 9:02:01 AM,C,16.552
7/3/25, 9:12:01 AM,C,18.053
7/3/25, 9:22:01 AM,C,22.054
7/3/25, 9:32:01 AM,C,24.555
7/3/25, 9:42:01 AM,C,25.555
7/3/25, 9:52:01 AM,C,26.055
